Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Sales,Profit
O0059,C145,P002,2025-12-11,5,0.15,20765.5,7385.5
O0060,C017,P035,2025-01-03,1,0.05,2789.2,1149.2
O0061,C027,P048,2025-02-05,5,0,17250,7400
O0062,C120,P034,2025-12-18,3,0.05,4289.25,1769.25
O0063,C060,P010,2025-10-03,3,0,9609,3069
O0064,C141,P006,2025-07-23,4,0.15,2155.6,423.6
O0065,C010,P013,2025-11-28,5,0.15,5168.0,1543.0
O0066,C141,P006,2026-02-06,2,0.05,1204.6,338.6
O0067,C044,P017,2026-03-21,3,0.1,5132.7,1253.7
O0068,C034,P034,2025-12-19,3,0,4515,1995
O0069,C176,P012,2025-05-24,4,0,17904,5204
O0070,C056,P043,2025-05-23,3,0.05,7598.1,2033.1
O0071,C053,P004,2025-10-16,1,0.1,4386.6,663.6
O0072,C117,P010,2025-07-04,5,0.15,13612.75,2712.75
O0073,C115,P028,2026-06-21,4,0.05,17461.0,6213.0
O0074,C105,P044,2026-05-11,5,0,16750,6650
O0075,C074,P005,2025-02-17,1,0,3731,1236
O0076,C151,P030,2025-07-16,5,0.15,6413.25,2443.25
O0077,C042,P023,2025-04-22,3,0,10938,2448
O0078,C133,P033,2025-10-03,2,0,7550,2768
O0079,C064,P045,2025-01-31,4,0.1,17193.6,7573.6
O0080,C099,P038,2025-05-17,5,0.15,12686.25,2991.25
O0081,C178,P016,2025-01-08,4,0,11376,3064
O0082,C090,P013,2025-12-09,4,0.05,4620.8,1720.8
O0083,C069,P006,2025-08-03,4,0.05,2409.2,677.2
O0084,C007,P007,2025-03-20,1,0,4793,1979
O0085,C109,P043,2025-01-11,2,0.1,4798.8,1088.8
O0086,C098,P033,2025-08-01,2,0.05,7172.5,2390.5
O0087,C070,P025,2026-05-26,5,0,5330,2275
O0088,C073,P019,2025-06-05,3,0.05,5187.0,1122.0
O0089,C027,P048,2026-02-27,4,0.05,13110.0,5230.0
O0090,C157,P010,2025-11-01,3,0,9609,3069
O0091,C133,P010,2025-03-15,1,0.15,2722.55,542.55
O0092,C193,P041,2025-06-03,4,0,19636,8048
O0093,C172,P038,2025-03-01,2,0.1,5373.0,1495.0
O0094,C161,P022,2026-03-18,2,0.1,6892.2,1124.2
O0095,C022,P001,2026-01-10,1,0,4350,1747
O0096,C164,P029,2026-03-18,4,0,2244,668
O0097,C029,P020,2026-03-24,5,0.1,16497.0,4992.0
O0098,C177,P045,2025-02-14,4,0.05,18148.8,8528.8
O0099,C070,P021,2025-01-12,4,0.1,10011.6,3479.6
O0100,C184,P015,2025-01-26,1,0.15,1858.95,702.95
O0101,C040,P001,2025-05-23,5,0,21750,8735
O0102,C086,P019,2026-04-28,3,0.1,4914.0,849.0
O0103,C193,P008,2025-02-20,3,0.05,13306.65,4675.65
O0104,C052,P022,2026-01-09,3,0.1,10338.3,1686.3
O0105,C192,P021,2025-09-11,4,0,11124,4592
O0106,C011,P040,2025-05-13,2,0,4248,1368
O0107,C021,P026,2025-10-12,1,0.15,736.95,46.95
O0108,C035,P001,2025-08-01,2,0,8700,3494
O0109,C135,P005,2026-06-23,5,0.1,16789.5,4314.5
O0110,C172,P035,2025-06-28,3,0.05,8367.6,3447.6
O0111,C096,P010,2026-01-27,1,0.15,2722.55,542.55
O0112,C064,P039,2025-07-11,5,0.15,12512.0,4467.0
O0113,C083,P033,2026-03-09,4,0.05,14345.0,4781.0
O0114,C110,P029,2026-02-16,4,0.15,1907.4,331.4
O0115,C070,P014,2025-06-12,1,0.1,501.3,147.3
O0116,C133,P004,2025-05-26,3,0,14622,3453
O0117,C143,P041,2026-05-24,3,0,14727,6036
O0118,C020,P037,2025-05-08,5,0.15,5091.5,1956.5
O0119,C062,P044,2025-11-29,5,0.05,15912.5,5812.5
O0120,C180,P031,2026-01-23,1,0.15,4080.0,289.0
O0121,C025,P019,2025-12-07,5,0.05,8645.0,1870.0
O0122,C177,P030,2025-10-26,5,0,7545,3575
O0123,C031,P029,2026-02-05,3,0.05,1598.85,416.85
O0124,C089,P036,2026-06-16,3,0.05,11257.5,2050.5
O0125,C096,P032,2025-04-24,4,0.1,8042.4,3574.4
O0126,C010,P037,2026-03-20,2,0,2396,1142
O0127,C102,P024,2025-10-05,3,0.1,3369.6,1380.6
O0128,C050,P028,2026-04-07,3,0,13785,5349
O0129,C073,P019,2025-02-18,3,0.1,4914.0,849.0
O0130,C084,P043,2025-01-23,3,0,7998,2433
O0131,C096,P021,2026-05-18,4,0.15,9455.4,2923.4
O0132,C016,P036,2025-11-14,5,0.15,16787.5,1442.5
O0133,C113,P012,2025-05-02,5,0.05,21261.0,5386.0
O0134,C049,P041,2025-08-22,2,0.05,9327.1,3533.1
O0135,C184,P002,2025-04-10,4,0.1,17589.6,6885.6
O0136,C145,P050,2026-03-13,2,0.05,2511.8,895.8
O0137,C171,P024,2025-02-10,1,0.05,1185.6,522.6
O0138,C092,P045,2025-01-14,1,0.15,4059.6,1654.6
O0139,C146,P018,2025-09-13,2,0.15,6239.0,2535.0
O0140,C013,P022,2025-11-02,2,0,7658,1890
O0141,C086,P015,2025-11-24,1,0,2187,1031
O0142,C037,P046,2025-06-21,2,0.05,8181.4,3579.4
O0143,C019,P031,2025-01-22,2,0,9600,2018
O0144,C025,P013,2025-08-04,1,0.1,1094.4,369.4
O0145,C172,P015,2026-06-21,1,0.15,1858.95,702.95
O0146,C017,P032,2026-03-27,4,0.05,8489.2,4021.2
O0147,C178,P025,2025-08-29,4,0.05,4050.8,1606.8
O0148,C047,P025,2026-05-29,3,0,3198,1365
O0149,C009,P017,2026-02-07,2,0.1,3421.8,835.8
O0150,C155,P046,2025-01-13,5,0.15,18300.5,6795.5
O0151,C056,P005,2025-03-14,5,0.15,15856.75,3381.75
O0152,C167,P028,2025-09-11,1,0.1,4135.5,1323.5
O0153,C031,P006,2025-06-20,4,0.05,2409.2,677.2
O0154,C151,P029,2025-06-06,1,0.05,532.95,138.95
O0155,C026,P045,2026-02-20,2,0.15,8119.2,3309.2
O0156,C045,P013,2025-12-17,5,0.1,5472.0,1847.0
O0157,C182,P025,2025-02-13,1,0.15,906.1,295.1
O0158,C073,P002,2026-03-16,2,0.1,8794.8,3442.8
O0159,C149,P038,2025-07-29,4,0,11940,4184
O0160,C117,P017,2025-05-26,2,0.1,3421.8,835.8
O0161,C139,P024,2025-10-30,2,0.15,2121.6,795.6
O0162,C154,P031,2026-03-13,1,0.1,4320.0,529.0
O0163,C012,P013,2026-01-05,5,0.15,5168.0,1543.0
O0164,C136,P042,2026-01-18,5,0.1,14233.5,5153.5
O0165,C147,P008,2025-03-28,1,0,4669,1792
O0166,C004,P009,2026-01-18,3,0.05,4882.05,1861.05
O0167,C058,P033,2026-06-25,5,0.05,17931.25,5976.25
O0168,C096,P027,2025-12-28,2,0.15,2126.7,732.7
O0169,C182,P049,2025-10-07,1,0.1,1336.5,361.5
O0170,C142,P007,2026-01-14,2,0,9586,3958
O0171,C191,P038,2025-04-29,4,0,11940,4184
O0172,C007,P022,2025-09-04,5,0.15,16273.25,1853.25
O0173,C094,P022,2025-04-01,1,0.05,3637.55,753.55
O0174,C054,P002,2026-04-11,5,0.05,23208.5,9828.5
O0175,C161,P023,2025-10-09,5,0.1,16407.0,2257.0
O0176,C110,P035,2025-02-21,1,0.15,2495.6,855.6
O0177,C027,P019,2025-12-25,2,0,3640,930
O0178,C196,P046,2026-04-20,4,0.1,15501.6,6297.6
O0179,C154,P028,2025-12-08,1,0.05,4365.25,1553.25
O0180,C146,P037,2025-06-13,5,0.05,5690.5,2555.5
O0181,C190,P037,2025-06-26,3,0.15,3054.9,1173.9
O0182,C177,P042,2026-02-10,1,0,3163,1347
O0183,C041,P002,2026-04-22,1,0.15,4153.1,1477.1
O0184,C074,P010,2025-11-08,1,0,3203,1023
O0185,C048,P015,2025-04-27,5,0.15,9294.75,3514.75
O0186,C163,P013,2025-02-18,2,0,2432,982
O0187,C104,P035,2026-06-14,1,0.1,2642.4,1002.4
O0188,C089,P030,2025-06-13,4,0.15,5130.6,1954.6
O0189,C153,P035,2026-01-03,2,0.15,4991.2,1711.2
O0190,C057,P026,2026-03-23,5,0.1,3901.5,451.5
O0191,C042,P050,2026-05-13,5,0,6610,2570
O0192,C016,P005,2025-09-30,4,0,14924,4944
O0193,C101,P024,2025-09-08,3,0.15,3182.4,1193.4
O0194,C104,P010,2025-11-13,3,0,9609,3069
O0195,C028,P007,2025-07-11,1,0.05,4553.35,1739.35
O0196,C048,P030,2025-12-15,4,0.05,5734.2,2558.2
O0197,C104,P022,2025-08-11,2,0.05,7275.1,1507.1
O0198,C041,P014,2026-03-19,3,0,1671,609
O0199,C099,P016,2026-05-07,1,0.05,2701.8,623.8
O0200,C173,P002,2026-01-11,5,0,24430,11050
O0201,C001,P026,2025-05-06,3,0.15,2210.85,140.85
O0202,C157,P041,2026-05-24,5,0,24545,10060
O0203,C061,P038,2025-04-21,4,0.05,11343.0,3587.0
O0204,C005,P032,2026-01-29,4,0.15,7595.6,3127.6
O0205,C143,P030,2026-06-18,2,0.15,2565.3,977.3
O0206,C151,P041,2026-06-15,1,0,4909,2012
O0207,C180,P048,2025-09-12,2,0.1,6210.0,2270.0
O0208,C073,P008,2025-10-26,4,0.05,17742.2,6234.2
O0209,C143,P015,2025-07-29,5,0.05,10388.25,4608.25
O0210,C131,P020,2026-03-19,3,0.15,9348.3,2445.3
O0211,C026,P013,2025-03-06,2,0,2432,982
O0212,C090,P010,2025-01-19,4,0.15,10890.2,2170.2
O0213,C186,P044,2025-08-26,2,0.1,6030.0,1990.0
O0214,C131,P017,2025-08-20,3,0.1,5132.7,1253.7
O0215,C141,P039,2025-01-09,4,0.1,10598.4,4162.4
O0216,C191,P014,2025-12-20,3,0.1,1503.9,441.9
O0217,C134,P017,2025-08-17,4,0.05,7223.8,2051.8
O0218,C016,P017,2025-02-19,1,0.1,1710.9,417.9
O0219,C101,P036,2026-01-03,2,0.1,7110.0,972.0
O0220,C132,P050,2025-09-10,3,0,3966,1542
O0221,C190,P029,2025-01-11,4,0,2244,668
O0222,C030,P010,2025-01-13,2,0,6406,2046
O0223,C140,P011,2025-07-22,5,0.15,6256.0,566.0
O0224,C014,P011,2025-10-24,2,0.15,2502.4,226.4
O0225,C188,P006,2025-12-01,4,0.15,2155.6,423.6
O0226,C077,P035,2025-10-08,2,0.15,4991.2,1711.2
O0227,C044,P001,2026-04-13,2,0.15,7395.0,2189.0
O0228,C146,P030,2026-01-10,3,0,4527,2145
O0229,C060,P036,2025-10-18,5,0.05,18762.5,3417.5
O0230,C042,P028,2025-08-25,2,0.05,8730.5,3106.5
O0231,C006,P002,2026-04-28,4,0.1,17589.6,6885.6
O0232,C161,P046,2025-01-20,3,0,12918,6015
O0233,C162,P014,2026-03-18,3,0.15,1420.35,358.35
O0234,C099,P032,2025-09-17,2,0.15,3797.8,1563.8
O0235,C019,P007,2026-03-07,3,0.1,12941.1,4499.1
O0236,C016,P029,2025-11-17,3,0,1683,501
O0237,C056,P030,2025-03-17,4,0.15,5130.6,1954.6
O0238,C104,P019,2025-06-17,1,0.15,1547.0,192.0
O0239,C194,P042,2026-06-09,2,0.15,5377.1,1745.1
O0240,C031,P035,2025-06-11,5,0.15,12478.0,4278.0
O0241,C027,P037,2025-10-03,4,0.1,4312.8,1804.8
O0242,C073,P049,2025-12-03,5,0,7425,2550
O0243,C109,P040,2025-11-07,4,0.1,7646.4,1886.4
O0244,C142,P030,2026-05-31,3,0,4527,2145
O0245,C047,P050,2025-04-17,2,0.05,2511.8,895.8
O0246,C116,P048,2025-10-14,5,0,17250,7400
O0247,C075,P005,2025-11-26,1,0.15,3171.35,676.35
O0248,C178,P033,2025-07-12,2,0.15,6417.5,1635.5
O0249,C093,P003,2026-02-04,4,0.1,15922.8,3158.8
O0250,C151,P007,2026-03-20,5,0.1,21568.5,7498.5
O0251,C199,P042,2025-02-13,5,0.05,15024.25,5944.25
O0252,C031,P020,2025-07-10,3,0.15,9348.3,2445.3
O0253,C197,P026,2025-12-14,4,0.1,3121.2,361.2
O0254,C146,P008,2025-11-07,3,0.15,11905.95,3274.95
O0255,C155,P002,2025-02-23,5,0.15,20765.5,7385.5
O0256,C142,P038,2025-11-19,4,0.15,10149.0,2393.0
O0257,C163,P025,2025-06-25,2,0.15,1812.2,590.2
O0258,C123,P039,2026-03-11,1,0.1,2649.6,1040.6
O0259,C144,P004,2026-03-20,1,0.05,4630.3,907.3
O0260,C069,P015,2025-12-29,1,0.15,1858.95,702.95
O0261,C026,P035,2025-03-26,4,0.05,11156.8,4596.8
O0262,C014,P028,2025-11-03,3,0.15,11717.25,3281.25
O0263,C146,P040,2025-08-12,4,0.15,7221.6,1461.6
O0264,C057,P029,2025-07-27,5,0,2805,835
O0265,C063,P046,2026-03-12,1,0.1,3875.4,1574.4
O0266,C029,P020,2025-11-23,4,0.15,12464.4,3260.4
O0267,C175,P016,2025-01-10,1,0.05,2701.8,623.8
O0268,C198,P045,2025-05-18,3,0,14328,7113
O0269,C129,P037,2025-04-17,3,0,3594,1713
O0270,C162,P011,2025-02-11,1,0.05,1398.4,260.4
O0271,C075,P013,2026-04-15,2,0.15,2067.2,617.2
O0272,C163,P041,2025-03-10,3,0,14727,6036
O0273,C103,P039,2026-03-20,3,0.1,7948.8,3121.8
O0274,C059,P038,2025-04-02,1,0.15,2537.25,598.25
O0275,C079,P005,2026-04-27,3,0,11193,3708
O0276,C115,P003,2026-02-03,5,0.1,19903.5,3948.5
O0277,C088,P016,2026-05-19,2,0,5688,1532
O0278,C058,P043,2025-10-22,2,0.05,5065.4,1355.4
O0279,C069,P009,2026-06-10,5,0,8565,3530
O0280,C145,P026,2026-01-28,2,0.1,1560.6,180.6
O0281,C177,P007,2025-10-29,1,0,4793,1979
O0282,C130,P048,2025-10-03,3,0,10350,4440
O0283,C165,P031,2025-07-31,5,0.05,22800.0,3845.0
O0284,C126,P049,2026-04-08,4,0,5940,2040
O0285,C159,P032,2025-08-11,5,0.1,10053.0,4468.0
O0286,C082,P009,2025-10-13,5,0.15,7280.25,2245.25
O0287,C044,P013,2025-08-19,2,0.1,2188.8,738.8
O0288,C020,P007,2025-03-09,3,0.1,12941.1,4499.1
O0289,C186,P050,2025-02-15,2,0,2644,1028
O0290,C093,P013,2025-03-20,4,0.05,4620.8,1720.8
O0291,C087,P048,2025-09-27,5,0.1,15525.0,5675.0
O0292,C115,P014,2025-01-25,1,0,557,203
O0293,C130,P021,2026-04-22,1,0.05,2641.95,1008.95
O0294,C113,P049,2025-11-29,5,0.15,6311.25,1436.25
O0295,C143,P004,2025-03-31,5,0.15,20714.5,2099.5
O0296,C117,P018,2025-02-12,5,0.1,16515.0,7255.0
O0297,C008,P043,2025-02-16,1,0,2666,811
O0298,C073,P006,2025-02-02,2,0.15,1077.8,211.8
O0299,C055,P007,2025-02-01,4,0.1,17254.8,5998.8
O0300,C009,P001,2025-08-23,5,0.05,20662.5,7647.5
O0301,C165,P016,2025-04-29,5,0,14220,3830
O0302,C080,P018,2026-01-07,2,0,7340,3636
O0303,C054,P032,2025-10-04,2,0.1,4021.2,1787.2
O0304,C157,P035,2026-02-03,4,0,11744,5184
O0305,C036,P026,2026-05-23,1,0,867,177
O0306,C126,P013,2025-06-23,1,0.05,1155.2,430.2
O0307,C166,P044,2025-10-29,1,0,3350,1330
O0308,C147,P039,2025-01-04,2,0.15,5004.8,1786.8
O0309,C032,P047,2025-08-04,3,0,4836,1860
O0310,C063,P039,2025-08-28,4,0,11776,5340
O0311,C062,P043,2025-06-01,1,0,2666,811
O0312,C155,P012,2026-02-06,4,0,17904,5204
O0313,C170,P044,2026-05-15,2,0.05,6365.0,2325.0
O0314,C050,P010,2025-09-23,1,0,3203,1023
O0315,C186,P006,2025-10-27,3,0.1,1711.8,412.8
O0316,C029,P023,2026-06-10,4,0,14584,3264
O0317,C107,P044,2025-04-19,3,0.1,9045.0,2985.0
O0318,C132,P024,2026-04-15,3,0.15,3182.4,1193.4
O0319,C033,P007,2026-01-27,2,0.05,9106.7,3478.7
O0320,C198,P029,2026-03-10,1,0.05,532.95,138.95
O0321,C040,P031,2025-06-10,5,0,24000,5045
O0322,C060,P021,2026-01-06,3,0.05,7925.85,3026.85
O0323,C055,P005,2025-01-11,5,0,18655,6180
O0324,C092,P011,2026-04-13,1,0.05,1398.4,260.4
O0325,C110,P038,2025-02-13,4,0,11940,4184
O0326,C128,P034,2025-02-24,4,0.05,5719.0,2359.0
O0327,C125,P042,2025-02-27,1,0.15,2688.55,872.55
O0328,C181,P002,2025-02-03,1,0,4886,2210
O0329,C062,P003,2026-01-26,3,0,13269,3696
O0330,C195,P007,2025-05-30,3,0.15,12222.15,3780.15
O0331,C177,P041,2026-06-12,2,0.1,8836.2,3042.2
O0332,C050,P027,2025-08-30,4,0,5004,2216
O0333,C042,P035,2025-07-13,5,0,14680,6480
O0334,C050,P041,2025-03-08,5,0.15,20863.25,6378.25
O0335,C133,P037,2025-10-02,1,0.05,1138.1,511.1
O0336,C041,P026,2026-02-23,1,0,867,177
O0337,C157,P005,2025-01-13,3,0.1,10073.7,2588.7
O0338,C149,P023,2026-01-15,5,0.1,16407.0,2257.0
O0339,C169,P016,2025-11-08,5,0.15,12087.0,1697.0
O0340,C135,P021,2026-04-29,1,0.15,2363.85,730.85
O0341,C073,P009,2026-03-29,2,0.1,3083.4,1069.4
O0342,C116,P037,2025-11-07,4,0.05,4552.4,2044.4
O0343,C133,P031,2026-03-31,3,0,14400,3027
O0344,C026,P023,2026-03-24,1,0.15,3099.1,269.1
O0345,C141,P007,2026-06-20,1,0,4793,1979
O0346,C128,P026,2026-02-23,4,0.15,2947.8,187.8
O0347,C153,P034,2026-01-26,5,0.05,7148.75,2948.75
O0348,C116,P023,2026-04-03,3,0,10938,2448
O0349,C046,P019,2026-02-15,2,0.1,3276.0,566.0
O0350,C015,P045,2025-07-05,2,0,9552,4742
O0351,C155,P003,2025-09-24,5,0,22115,6160
O0352,C055,P023,2025-02-26,1,0,3646,816
O0353,C181,P041,2026-05-31,4,0,19636,8048
O0354,C004,P010,2025-05-08,3,0.05,9128.55,2588.55
O0355,C022,P028,2026-06-08,3,0.15,11717.25,3281.25
O0356,C167,P049,2025-02-22,2,0.1,2673.0,723.0
O0357,C118,P005,2025-01-30,1,0.05,3544.45,1049.45
O0358,C114,P012,2025-06-17,2,0.05,8504.4,2154.4
O0359,C094,P040,2025-11-24,1,0.1,1911.6,471.6
O0360,C079,P012,2025-12-17,3,0.05,12756.6,3231.6
O0361,C072,P006,2025-02-02,2,0,1268,402
O0362,C098,P036,2026-06-14,4,0.05,15010.0,2734.0
O0363,C015,P045,2025-10-24,1,0.1,4298.4,1893.4
O0364,C064,P018,2025-12-27,4,0.05,13946.0,6538.0
O0365,C161,P035,2025-05-28,4,0.1,10569.6,4009.6
O0366,C032,P034,2026-02-24,5,0.05,7148.75,2948.75
O0367,C058,P019,2025-09-24,3,0.05,5187.0,1122.0
O0368,C101,P029,2025-02-14,4,0,2244,668
O0369,C037,P017,2025-10-04,1,0.1,1710.9,417.9
O0370,C135,P028,2026-04-04,5,0,22975,8915
O0371,C171,P041,2025-12-26,3,0.1,13254.3,4563.3
O0372,C120,P002,2025-11-26,2,0.05,9283.4,3931.4
O0373,C029,P025,2026-05-16,2,0.05,2025.4,803.4
O0374,C031,P004,2026-06-20,3,0,14622,3453
O0375,C125,P022,2025-03-10,1,0.15,3254.65,370.65
O0376,C034,P017,2026-03-31,4,0,7604,2432
O0377,C072,P025,2025-05-09,5,0.1,4797.0,1742.0
O0378,C179,P038,2025-04-19,2,0,5970,2092
O0379,C050,P037,2025-01-08,2,0.05,2276.2,1022.2
O0380,C101,P017,2025-01-01,4,0.15,6463.4,1291.4
O0381,C164,P045,2026-02-17,3,0.15,12178.8,4963.8
O0382,C093,P015,2025-03-28,3,0.05,6232.95,2764.95
O0383,C189,P029,2026-04-20,5,0,2805,835
O0384,C146,P014,2025-03-29,5,0.05,2645.75,875.75
O0385,C069,P043,2025-05-19,4,0.05,10130.8,2710.8
O0386,C193,P027,2025-12-28,4,0.15,4253.4,1465.4
O0387,C039,P046,2025-03-10,4,0.15,14640.4,5436.4
O0388,C088,P027,2026-03-14,5,0.15,5316.75,1831.75
O0389,C029,P047,2025-05-18,4,0.05,6125.6,2157.6
O0390,C120,P009,2025-05-07,4,0,6852,2824
O0391,C151,P047,2026-04-27,4,0.05,6125.6,2157.6
O0392,C086,P023,2025-12-06,4,0,14584,3264
O0393,C102,P003,2025-12-06,2,0.05,8403.7,2021.7
O0394,C098,P047,2026-04-22,3,0,4836,1860
O0395,C142,P015,2025-05-15,5,0.1,9841.5,4061.5
O0396,C118,P006,2025-11-25,3,0.15,1616.7,317.7
O0397,C195,P005,2025-02-22,2,0,7462,2472
O0398,C050,P018,2025-03-09,5,0,18350,9090
O0399,C129,P017,2025-05-28,2,0.1,3421.8,835.8
O0400,C037,P043,2025-06-24,4,0.05,10130.8,2710.8
O0401,C035,P015,2025-05-11,2,0.05,4155.3,1843.3
O0402,C079,P047,2025-06-09,4,0,6448,2480
O0403,C109,P032,2025-05-24,3,0,6702,3351
O0404,C112,P009,2025-12-22,2,0.1,3083.4,1069.4
O0405,C009,P041,2025-03-12,3,0,14727,6036
O0406,C079,P009,2025-07-27,4,0.1,6166.8,2138.8
O0407,C114,P022,2026-03-14,4,0,15316,3780
O0408,C150,P010,2026-01-19,3,0.1,8648.1,2108.1
O0409,C131,P050,2025-03-27,4,0.05,5023.6,1791.6
O0410,C066,P038,2025-03-23,1,0.15,2537.25,598.25
O0411,C092,P032,2025-12-31,1,0,2234,1117
O0412,C098,P019,2025-02-12,4,0,7280,1860
O0413,C056,P018,2025-06-03,5,0.05,17432.5,8172.5
O0414,C142,P030,2025-12-12,4,0.1,5432.4,2256.4
O0415,C089,P029,2025-11-25,1,0.1,504.9,110.9
O0416,C199,P021,2026-06-10,5,0.05,13209.75,5044.75
O0417,C065,P035,2025-10-15,5,0.05,13946.0,5746.0
O0418,C031,P045,2026-05-27,4,0.05,18148.8,8528.8
O0419,C192,P012,2025-09-29,4,0.15,15218.4,2518.4
O0420,C190,P046,2025-06-29,3,0.1,11626.2,4723.2
O0421,C184,P032,2025-10-24,3,0.15,5696.7,2345.7
O0422,C152,P032,2025-12-28,4,0.1,8042.4,3574.4
O0423,C127,P048,2026-06-22,5,0.15,14662.5,4812.5
O0424,C197,P035,2026-02-20,5,0.1,13212.0,5012.0
O0425,C102,P011,2026-01-30,1,0.05,1398.4,260.4
O0426,C021,P013,2026-05-05,4,0.05,4620.8,1720.8
O0427,C057,P022,2026-05-20,5,0.1,17230.5,2810.5
O0428,C054,P010,2026-04-07,5,0,16015,5115
O0429,C007,P040,2025-06-18,2,0.1,3823.2,943.2
O0430,C062,P005,2025-05-16,5,0,18655,6180
O0431,C066,P001,2025-11-19,2,0,8700,3494
O0432,C025,P008,2026-02-11,1,0.15,3968.65,1091.65
O0433,C004,P040,2025-10-19,3,0.05,6053.4,1733.4
O0434,C149,P007,2026-05-13,2,0,9586,3958
O0435,C196,P017,2025-12-16,5,0.05,9029.75,2564.75
O0436,C144,P014,2025-08-29,1,0,557,203
O0437,C147,P035,2026-03-03,2,0,5872,2592
O0438,C152,P036,2025-12-26,4,0,15800,3524
O0439,C153,P039,2025-06-23,5,0.1,13248.0,5203.0
O0440,C051,P019,2025-11-10,4,0.15,6188.0,768.0
O0441,C152,P022,2026-03-11,2,0.1,6892.2,1124.2
O0442,C036,P033,2025-07-09,1,0,3775,1384
O0443,C176,P048,2025-04-18,1,0.05,3277.5,1307.5
O0444,C052,P018,2026-03-15,3,0.1,9909.0,4353.0
O0445,C138,P014,2026-02-08,1,0.15,473.45,119.45
O0446,C072,P037,2025-11-01,2,0.05,2276.2,1022.2
O0447,C182,P005,2025-01-07,2,0.15,6342.7,1352.7
O0448,C117,P019,2026-02-21,2,0,3640,930
O0449,C162,P005,2026-03-29,5,0,18655,6180
