Payment_ID,Order_ID,Payment_Mode,Payment_Status,Amount
PAY0221,O0221,Net Banking,Paid,2244
PAY0222,O0222,Card,Paid,6406
PAY0223,O0223,Cash,Paid,6256.0
PAY0224,O0224,Card,Paid,2502.4
PAY0225,O0225,Card,Paid,2155.6
PAY0226,O0226,Cash,Paid,4991.2
PAY0227,O0227,Net Banking,Pending,7395.0
PAY0228,O0228,Cash,Paid,4527
PAY0229,O0229,UPI,Paid,18762.5
PAY0230,O0230,Net Banking,Paid,8730.5
PAY0231,O0231,Net Banking,Pending,17589.6
PAY0232,O0232,Card,Paid,12918
PAY0233,O0233,Cash,Paid,1420.35
PAY0234,O0234,Net Banking,Pending,3797.8
PAY0235,O0235,Card,Paid,12941.1
PAY0236,O0236,Net Banking,Pending,1683
PAY0237,O0237,UPI,Paid,5130.6
PAY0238,O0238,Card,Paid,1547.0
PAY0239,O0239,UPI,Paid,5377.1
PAY0240,O0240,UPI,Paid,12478.0
PAY0241,O0241,Cash,Pending,4312.8
PAY0242,O0242,UPI,Paid,7425
PAY0243,O0243,Cash,Pending,7646.4
PAY0244,O0244,Net Banking,Pending,4527
PAY0245,O0245,Net Banking,Paid,2511.8
PAY0246,O0246,Card,Pending,17250
PAY0247,O0247,Cash,Paid,3171.35
PAY0248,O0248,Cash,Pending,6417.5
PAY0249,O0249,Net Banking,Paid,15922.8
PAY0250,O0250,Cash,Pending,21568.5
PAY0251,O0251,UPI,Pending,15024.25
PAY0252,O0252,Card,Pending,9348.3
PAY0253,O0253,Card,Pending,3121.2
PAY0254,O0254,Cash,Pending,11905.95
PAY0255,O0255,Card,Paid,20765.5
PAY0256,O0256,Net Banking,Paid,10149.0
PAY0257,O0257,Card,Pending,1812.2
PAY0258,O0258,Card,Pending,2649.6
PAY0259,O0259,Net Banking,Pending,4630.3
PAY0260,O0260,Cash,Paid,1858.95
PAY0261,O0261,Net Banking,Pending,11156.8
PAY0262,O0262,Cash,Paid,11717.25
PAY0263,O0263,Cash,Pending,7221.6
PAY0264,O0264,Net Banking,Pending,2805
PAY0265,O0265,Cash,Pending,3875.4
PAY0266,O0266,Cash,Pending,12464.4
PAY0267,O0267,UPI,Pending,2701.8
PAY0268,O0268,Card,Pending,14328
PAY0269,O0269,Net Banking,Pending,3594
PAY0270,O0270,Cash,Paid,1398.4
PAY0271,O0271,Card,Pending,2067.2
PAY0272,O0272,UPI,Paid,14727
PAY0273,O0273,UPI,Pending,7948.8
PAY0274,O0274,Card,Pending,2537.25
PAY0275,O0275,Cash,Pending,11193
PAY0276,O0276,Cash,Paid,19903.5
PAY0277,O0277,Cash,Pending,5688
PAY0278,O0278,Card,Pending,5065.4
PAY0279,O0279,Cash,Pending,8565
PAY0280,O0280,Cash,Pending,1560.6
PAY0281,O0281,Cash,Paid,4793
PAY0282,O0282,UPI,Pending,10350
PAY0283,O0283,Card,Pending,22800.0
PAY0284,O0284,UPI,Paid,5940
PAY0285,O0285,UPI,Pending,10053.0
PAY0286,O0286,Cash,Pending,7280.25
PAY0287,O0287,UPI,Pending,2188.8
PAY0288,O0288,Net Banking,Pending,12941.1
PAY0289,O0289,Card,Paid,2644
PAY0290,O0290,Net Banking,Pending,4620.8
PAY0291,O0291,Cash,Paid,15525.0
PAY0292,O0292,Card,Paid,557
PAY0293,O0293,Cash,Pending,2641.95
PAY0294,O0294,UPI,Pending,6311.25
PAY0295,O0295,Card,Paid,20714.5
PAY0296,O0296,Card,Paid,16515.0
PAY0297,O0297,Net Banking,Paid,2666
PAY0298,O0298,Card,Pending,1077.8
PAY0299,O0299,Cash,Paid,17254.8
PAY0300,O0300,Cash,Paid,20662.5
PAY0301,O0301,Cash,Paid,14220
PAY0302,O0302,Cash,Paid,7340
PAY0303,O0303,Cash,Paid,4021.2
PAY0304,O0304,Card,Paid,11744
PAY0305,O0305,Card,Pending,867
PAY0306,O0306,Card,Pending,1155.2
PAY0307,O0307,Card,Paid,3350
PAY0308,O0308,Card,Paid,5004.8
PAY0309,O0309,Card,Paid,4836
PAY0310,O0310,UPI,Pending,11776
PAY0311,O0311,Net Banking,Paid,2666
PAY0312,O0312,Net Banking,Paid,17904
PAY0313,O0313,Cash,Pending,6365.0
PAY0314,O0314,Net Banking,Pending,3203
PAY0315,O0315,Card,Paid,1711.8
PAY0316,O0316,Net Banking,Pending,14584
PAY0317,O0317,UPI,Pending,9045.0
PAY0318,O0318,UPI,Pending,3182.4
PAY0319,O0319,UPI,Pending,9106.7
PAY0320,O0320,Card,Paid,532.95
PAY0321,O0321,Cash,Paid,24000
PAY0322,O0322,Net Banking,Paid,7925.85
PAY0323,O0323,Cash,Paid,18655
PAY0324,O0324,UPI,Paid,1398.4
PAY0325,O0325,Net Banking,Paid,11940
PAY0326,O0326,Cash,Pending,5719.0
PAY0327,O0327,Net Banking,Paid,2688.55
PAY0328,O0328,UPI,Paid,4886
PAY0329,O0329,UPI,Pending,13269
PAY0330,O0330,Cash,Paid,12222.15
PAY0331,O0331,UPI,Pending,8836.2
PAY0332,O0332,Net Banking,Pending,5004
PAY0333,O0333,Card,Pending,14680
PAY0334,O0334,Card,Pending,20863.25
PAY0335,O0335,Cash,Paid,1138.1
PAY0336,O0336,Net Banking,Pending,867
PAY0337,O0337,UPI,Paid,10073.7
PAY0338,O0338,Net Banking,Pending,16407.0
PAY0339,O0339,Net Banking,Paid,12087.0
PAY0340,O0340,Cash,Pending,2363.85
PAY0341,O0341,Card,Pending,3083.4
PAY0342,O0342,Net Banking,Paid,4552.4
PAY0343,O0343,Card,Paid,14400
PAY0344,O0344,UPI,Paid,3099.1
PAY0345,O0345,Cash,Pending,4793
PAY0346,O0346,Net Banking,Paid,2947.8
PAY0347,O0347,UPI,Pending,7148.75
PAY0348,O0348,UPI,Pending,10938
PAY0349,O0349,Card,Paid,3276.0
PAY0350,O0350,Card,Paid,9552
PAY0351,O0351,UPI,Paid,22115
PAY0352,O0352,Card,Pending,3646
PAY0353,O0353,Cash,Paid,19636
PAY0354,O0354,Net Banking,Paid,9128.55
PAY0355,O0355,Cash,Paid,11717.25
PAY0356,O0356,Cash,Paid,2673.0
PAY0357,O0357,Cash,Pending,3544.45
PAY0358,O0358,Card,Pending,8504.4
PAY0359,O0359,Card,Pending,1911.6
PAY0360,O0360,Net Banking,Pending,12756.6
PAY0361,O0361,Card,Pending,1268
PAY0362,O0362,Card,Pending,15010.0
PAY0363,O0363,Card,Paid,4298.4
PAY0364,O0364,UPI,Pending,13946.0
PAY0365,O0365,UPI,Paid,10569.6
PAY0366,O0366,Net Banking,Pending,7148.75
PAY0367,O0367,Card,Pending,5187.0
PAY0368,O0368,UPI,Pending,2244
PAY0369,O0369,Card,Pending,1710.9
PAY0370,O0370,Cash,Paid,22975
PAY0371,O0371,Net Banking,Paid,13254.3
PAY0372,O0372,Card,Paid,9283.4
PAY0373,O0373,Card,Paid,2025.4
PAY0374,O0374,Cash,Pending,14622
PAY0375,O0375,UPI,Paid,3254.65
PAY0376,O0376,Net Banking,Paid,7604
PAY0377,O0377,Cash,Paid,4797.0
PAY0378,O0378,Net Banking,Paid,5970
PAY0379,O0379,UPI,Paid,2276.2
PAY0380,O0380,UPI,Pending,6463.4
PAY0381,O0381,Net Banking,Pending,12178.8
PAY0382,O0382,Card,Pending,6232.95
PAY0383,O0383,Cash,Paid,2805
PAY0384,O0384,UPI,Paid,2645.75
PAY0385,O0385,Net Banking,Pending,10130.8
PAY0386,O0386,UPI,Paid,4253.4
PAY0387,O0387,Card,Paid,14640.4
PAY0388,O0388,UPI,Pending,5316.75
PAY0389,O0389,Cash,Paid,6125.6
PAY0390,O0390,Cash,Paid,6852
PAY0391,O0391,Net Banking,Pending,6125.6
PAY0392,O0392,Net Banking,Paid,14584
PAY0393,O0393,Cash,Pending,8403.7
PAY0394,O0394,UPI,Paid,4836
PAY0395,O0395,Cash,Paid,9841.5
PAY0396,O0396,UPI,Paid,1616.7
PAY0397,O0397,Card,Pending,7462
PAY0398,O0398,UPI,Paid,18350
PAY0399,O0399,UPI,Pending,3421.8
PAY0400,O0400,Cash,Paid,10130.8
PAY0401,O0401,Card,Pending,4155.3
PAY0402,O0402,Cash,Paid,6448
PAY0403,O0403,UPI,Paid,6702
PAY0404,O0404,UPI,Pending,3083.4
PAY0405,O0405,Net Banking,Pending,14727
PAY0406,O0406,Card,Pending,6166.8
PAY0407,O0407,Cash,Pending,15316
PAY0408,O0408,Net Banking,Paid,8648.1
PAY0409,O0409,UPI,Paid,5023.6
PAY0410,O0410,Net Banking,Pending,2537.25
PAY0411,O0411,Card,Paid,2234
PAY0412,O0412,Net Banking,Paid,7280
PAY0413,O0413,UPI,Paid,17432.5
PAY0414,O0414,Card,Paid,5432.4
PAY0415,O0415,Net Banking,Paid,504.9
PAY0416,O0416,Card,Paid,13209.75
PAY0417,O0417,Card,Paid,13946.0
PAY0418,O0418,Cash,Paid,18148.8
PAY0419,O0419,Net Banking,Paid,15218.4
PAY0420,O0420,Card,Pending,11626.2
PAY0421,O0421,UPI,Paid,5696.7
PAY0422,O0422,Card,Paid,8042.4
PAY0423,O0423,Cash,Pending,14662.5
PAY0424,O0424,Net Banking,Pending,13212.0
PAY0425,O0425,Cash,Pending,1398.4
PAY0426,O0426,UPI,Paid,4620.8
PAY0427,O0427,Cash,Paid,17230.5
PAY0428,O0428,Net Banking,Pending,16015
PAY0429,O0429,Net Banking,Pending,3823.2
PAY0430,O0430,Cash,Pending,18655
PAY0431,O0431,Net Banking,Paid,8700
PAY0432,O0432,Net Banking,Paid,3968.65
PAY0433,O0433,UPI,Paid,6053.4
PAY0434,O0434,Card,Paid,9586
PAY0435,O0435,Cash,Paid,9029.75
PAY0436,O0436,Net Banking,Pending,557
PAY0437,O0437,Net Banking,Pending,5872
PAY0438,O0438,Card,Paid,15800
PAY0439,O0439,UPI,Pending,13248.0
PAY0440,O0440,Net Banking,Pending,6188.0
PAY0441,O0441,Net Banking,Paid,6892.2
PAY0442,O0442,Cash,Pending,3775
PAY0443,O0443,Net Banking,Paid,3277.5
PAY0444,O0444,Net Banking,Pending,9909.0
PAY0445,O0445,Net Banking,Paid,473.45
PAY0446,O0446,Net Banking,Pending,2276.2
PAY0447,O0447,Net Banking,Paid,6342.7
PAY0448,O0448,Net Banking,Paid,3640
PAY0449,O0449,Net Banking,Paid,18655
PAY0450,O0450,Card,Paid,5719.0
PAY0451,O0451,Net Banking,Paid,2835.75
PAY0452,O0452,UPI,Paid,2511.8
PAY0453,O0453,UPI,Pending,7604
PAY0454,O0454,Net Banking,Paid,17461.0
PAY0455,O0455,Card,Pending,10238.4
PAY0456,O0456,UPI,Paid,15495.5
PAY0457,O0457,Cash,Pending,14413.5
PAY0458,O0458,UPI,Paid,6682.5
PAY0459,O0459,Net Banking,Pending,1456.05
PAY0460,O0460,Card,Paid,8403.7
PAY0461,O0461,UPI,Paid,2116.6
PAY0462,O0462,Card,Paid,8181.4
PAY0463,O0463,Cash,Paid,8310.6
PAY0464,O0464,Cash,Pending,14345.0
PAY0465,O0465,Card,Paid,5690.5
PAY0466,O0466,Cash,Paid,13197.6
PAY0467,O0467,Card,Pending,1729.0
PAY0468,O0468,UPI,Paid,15501.6
PAY0469,O0469,Card,Paid,4753.8
PAY0470,O0470,Net Banking,Pending,2005.2
PAY0471,O0471,Cash,Pending,18148.8
PAY0472,O0472,Card,Paid,2673.0
PAY0473,O0473,Net Banking,Pending,953.7
PAY0474,O0474,Card,Pending,14220.0
PAY0475,O0475,Card,Pending,4153.1
PAY0476,O0476,UPI,Paid,10053.0
PAY0477,O0477,Card,Paid,9327.1
PAY0478,O0478,Card,Paid,11170
PAY0479,O0479,UPI,Paid,5734.8
PAY0480,O0480,Net Banking,Pending,24000
PAY0481,O0481,Cash,Pending,5065.4
PAY0482,O0482,Card,Pending,1012.7
PAY0483,O0483,Card,Paid,6030.0
PAY0484,O0484,Cash,Paid,561
PAY0485,O0485,Cash,Pending,7961.4
PAY0486,O0486,Net Banking,Pending,12606.3
PAY0487,O0487,UPI,Paid,1806.9
PAY0488,O0488,Net Banking,Pending,14925
PAY0489,O0489,Card,Paid,6166.8
PAY0490,O0490,Card,Pending,13990.65
PAY0491,O0491,Cash,Paid,906.1
PAY0492,O0492,Card,Pending,4455
PAY0493,O0493,Net Banking,Pending,4312.8
PAY0494,O0494,UPI,Paid,3847.95
PAY0495,O0495,Card,Paid,9190
PAY0496,O0496,Net Banking,Pending,2363.85
PAY0497,O0497,Net Banking,Paid,1354.5
PAY0498,O0498,Net Banking,Pending,18762.5
PAY0499,O0499,Net Banking,Pending,7221.6
PAY0500,O0500,Card,Paid,9064.4
PAY0501,O0501,Net Banking,Pending,1505
PAY0502,O0502,Cash,Pending,16690.6
PAY0503,O0503,UPI,Pending,13432.5
PAY0504,O0504,Cash,Pending,6852
PAY0505,O0505,Net Banking,Pending,3640
PAY0506,O0506,Cash,Pending,11942.1
PAY0507,O0507,UPI,Paid,2847.5
PAY0508,O0508,Card,Paid,11744
PAY0509,O0509,Card,Pending,3182.4
PAY0510,O0510,Cash,Paid,1456.05
PAY0511,O0511,Card,Pending,4118.25
PAY0512,O0512,UPI,Paid,1066
PAY0513,O0513,Net Banking,Paid,21492.0
PAY0514,O0514,UPI,Paid,3010
PAY0515,O0515,Card,Pending,16362.8
PAY0516,O0516,Cash,Pending,17250
PAY0517,O0517,UPI,Pending,20453.5
PAY0518,O0518,UPI,Paid,24430
PAY0519,O0519,Cash,Pending,12812
PAY0520,O0520,Net Banking,Pending,7657.0
PAY0521,O0521,UPI,Pending,11530.8
PAY0522,O0522,Net Banking,Paid,8952
PAY0523,O0523,Net Banking,Paid,5928.0
PAY0524,O0524,Cash,Paid,7508.7
PAY0525,O0525,Net Banking,Pending,5629.5
PAY0526,O0526,Cash,Paid,3369.6
PAY0527,O0527,Card,Pending,3717.9
PAY0528,O0528,UPI,Pending,9841.5
PAY0529,O0529,Net Banking,Paid,16296.2
PAY0530,O0530,Net Banking,Paid,14379
PAY0531,O0531,Net Banking,Pending,11530.8
PAY0532,O0532,Card,Paid,1322
PAY0533,O0533,Card,Pending,9600
PAY0534,O0534,Net Banking,Pending,1918.8
PAY0535,O0535,Cash,Pending,6342.7
PAY0536,O0536,Card,Pending,1155.2
PAY0537,O0537,UPI,Paid,10746.0
PAY0538,O0538,Card,Paid,21010.5
PAY0539,O0539,UPI,Paid,15075.0
PAY0540,O0540,Net Banking,Paid,1541.7
PAY0541,O0541,Card,Pending,13946.0
PAY0542,O0542,UPI,Paid,10053.0
PAY0543,O0543,UPI,Pending,5865.0
PAY0544,O0544,Net Banking,Pending,17250
PAY0545,O0545,Card,Pending,3414.3
PAY0546,O0546,Card,Pending,6311.25
PAY0547,O0547,Net Banking,Paid,3203
PAY0548,O0548,Card,Pending,2781
PAY0549,O0549,Cash,Paid,7658
PAY0550,O0550,Net Banking,Paid,13430.0
PAY0551,O0551,UPI,Pending,5824.2
PAY0552,O0552,Cash,Paid,19172
PAY0553,O0553,UPI,Paid,6916.0
PAY0554,O0554,UPI,Pending,12514.5
PAY0555,O0555,Cash,Paid,5299.2
PAY0556,O0556,Net Banking,Pending,9489
PAY0557,O0557,Net Banking,Pending,7088.9
PAY0558,O0558,Card,Paid,1358.1
PAY0559,O0559,UPI,Pending,5377.1
PAY0560,O0560,Cash,Pending,4909
PAY0561,O0561,Net Banking,Paid,2664.75
PAY0562,O0562,Cash,Paid,2210.85
PAY0563,O0563,UPI,Paid,532.95
PAY0564,O0564,Net Banking,Paid,10072.5
PAY0565,O0565,Card,Pending,2010.6
PAY0566,O0566,Cash,Paid,1251
PAY0567,O0567,Card,Pending,13784.4
PAY0568,O0568,Net Banking,Paid,2944
PAY0569,O0569,UPI,Pending,5377.1
PAY0570,O0570,Net Banking,Paid,2246.4
PAY0571,O0571,Card,Pending,8271.0
PAY0572,O0572,Cash,Pending,13925.1
PAY0573,O0573,UPI,Paid,3171.35
PAY0574,O0574,Net Banking,Pending,19528.75
PAY0575,O0575,Net Banking,Paid,10807.2
PAY0576,O0576,Card,Paid,1078.2
PAY0577,O0577,Card,Pending,2932.5
PAY0578,O0578,UPI,Paid,14720
PAY0579,O0579,Card,Paid,16387.5
PAY0580,O0580,Net Banking,Paid,1647.3
PAY0581,O0581,UPI,Paid,2210.85
PAY0582,O0582,Card,Pending,5643.0
PAY0583,O0583,UPI,Pending,20863.25
PAY0584,O0584,Cash,Pending,2116.6
PAY0585,O0585,UPI,Pending,1262.25
PAY0586,O0586,Card,Paid,8532
PAY0587,O0587,Cash,Paid,17546.4
PAY0588,O0588,Cash,Pending,12514.5
PAY0589,O0589,UPI,Paid,13330
PAY0590,O0590,Card,Pending,9315.0
PAY0591,O0591,Cash,Paid,20765.5
PAY0592,O0592,Cash,Pending,1901
PAY0593,O0593,Net Banking,Paid,5719.0
PAY0594,O0594,Cash,Pending,4527
PAY0595,O0595,Cash,Paid,1647.3
PAY0596,O0596,Card,Pending,2805
PAY0597,O0597,Cash,Pending,7708.5
PAY0598,O0598,Card,Paid,3804.6
PAY0599,O0599,Card,Paid,2944
PAY0600,O0600,Net Banking,Pending,16015
PAY0601,O0601,UPI,Paid,9027.0
PAY0602,O0602,Net Banking,Pending,14007
PAY0603,O0603,Card,Pending,3042.85
PAY0604,O0604,Cash,Paid,2067.2
PAY0605,O0605,UPI,Pending,4494.8
PAY0606,O0606,Net Banking,Paid,6798.3
PAY0607,O0607,Net Banking,Pending,2210.85
PAY0608,O0608,UPI,Paid,12060.0
PAY0609,O0609,Cash,Paid,3163
PAY0610,O0610,Net Banking,Paid,4503.6
PAY0611,O0611,Card,Pending,1002.6
PAY0612,O0612,Net Banking,Paid,1063.35
PAY0613,O0613,Card,Pending,1282.65
PAY0614,O0614,UPI,Paid,18676
PAY0615,O0615,Net Banking,Pending,23965
