Lead_ID,Lead_Date,Region,Team,Sales_Rep,Segment,Source,Stage,Deal_Value,Probability,Close_Date
1051,2026-02-19,South,Team A,Rep 6,Home Office,Google,Negotiation,8431,0.75,
1052,2025-04-17,West,Team B,Rep 3,Consumer,Google,Lead,10154,0.1,
1053,2025-07-18,East,Team B,Rep 2,Home Office,Referral,Proposal,19236,0.5,
1054,2025-09-12,East,Team D,Rep 2,Corporate,LinkedIn,Proposal,20352,0.5,
1055,2025-09-29,South,Team C,Rep 8,Home Office,Google,Closed Won,643,1.0,2025-10-19
1056,2025-01-24,North,Team B,Rep 1,Corporate,Google,Qualified,9757,0.25,
1057,2025-10-26,West,Team C,Rep 7,Home Office,LinkedIn,Qualified,21248,0.25,
1058,2025-03-26,West,Team C,Rep 7,Consumer,Facebook,Proposal,13495,0.5,
1059,2026-02-10,West,Team B,Rep 1,Corporate,Email,Lead,5529,0.1,
1060,2026-01-08,West,Team B,Rep 5,Consumer,Google,Lead,15041,0.1,
1061,2026-05-19,South,Team D,Rep 5,Consumer,Email,Qualified,4050,0.25,
1062,2026-02-11,South,Team C,Rep 3,Consumer,Email,Qualified,1034,0.25,
1063,2025-07-20,North,Team A,Rep 6,Corporate,Google,Lead,15994,0.1,
1064,2026-06-13,West,Team C,Rep 4,Consumer,LinkedIn,Qualified,13120,0.25,
1065,2025-08-13,East,Team C,Rep 4,Home Office,LinkedIn,Qualified,19034,0.25,
1066,2025-06-27,South,Team C,Rep 4,Corporate,Facebook,Qualified,8948,0.25,
1067,2026-05-10,West,Team C,Rep 7,Home Office,Google,Qualified,21429,0.25,
1068,2025-07-22,East,Team D,Rep 6,Home Office,Email,Negotiation,10821,0.75,
1069,2025-02-11,West,Team B,Rep 4,Consumer,LinkedIn,Qualified,18581,0.25,
1070,2025-09-14,West,Team B,Rep 8,Consumer,Facebook,Closed Lost,2957,0.0,2026-01-01
1071,2026-03-11,North,Team A,Rep 7,Corporate,LinkedIn,Closed Won,2880,1.0,2026-06-29
1072,2025-04-14,South,Team C,Rep 8,Corporate,Referral,Qualified,19679,0.25,
1073,2025-09-10,East,Team B,Rep 6,Consumer,LinkedIn,Qualified,20932,0.25,
1074,2025-03-12,West,Team B,Rep 4,Home Office,Facebook,Proposal,23588,0.5,
1075,2026-01-10,North,Team C,Rep 7,Corporate,Referral,Closed Won,8453,1.0,2026-04-16
1076,2025-09-17,South,Team B,Rep 3,Home Office,LinkedIn,Proposal,1045,0.5,
1077,2025-06-30,East,Team B,Rep 3,Consumer,LinkedIn,Closed Won,24507,1.0,2025-08-15
1078,2025-05-04,West,Team B,Rep 4,Home Office,Referral,Proposal,15233,0.5,
1079,2025-11-05,North,Team B,Rep 8,Consumer,Referral,Proposal,6554,0.5,
1080,2026-01-01,East,Team A,Rep 5,Corporate,Email,Qualified,19214,0.25,
1081,2026-05-29,South,Team D,Rep 4,Corporate,Referral,Negotiation,22645,0.75,
1082,2025-08-27,North,Team A,Rep 4,Home Office,LinkedIn,Lead,7477,0.1,
1083,2025-03-29,East,Team B,Rep 3,Consumer,Facebook,Negotiation,19356,0.75,
1084,2026-03-31,South,Team C,Rep 6,Consumer,Facebook,Closed Won,19795,1.0,2026-04-13
1085,2025-12-10,East,Team A,Rep 3,Corporate,LinkedIn,Lead,12791,0.1,
1086,2026-01-18,South,Team C,Rep 5,Corporate,Facebook,Proposal,15992,0.5,
1087,2025-02-23,West,Team C,Rep 3,Consumer,Google,Lead,7103,0.1,
1088,2025-06-20,North,Team C,Rep 3,Consumer,LinkedIn,Negotiation,23264,0.75,
1089,2026-02-24,West,Team B,Rep 8,Consumer,LinkedIn,Lead,24586,0.1,
1090,2026-03-31,North,Team A,Rep 3,Corporate,Referral,Closed Lost,24534,0.0,2026-06-26
1091,2025-08-26,East,Team D,Rep 1,Corporate,Email,Lead,18559,0.1,
1092,2026-03-16,South,Team B,Rep 4,Corporate,Facebook,Closed Lost,1537,0.0,2026-05-10
1093,2026-04-05,South,Team D,Rep 5,Home Office,Referral,Closed Won,9478,1.0,2026-08-01
1094,2025-07-31,North,Team A,Rep 1,Consumer,Google,Proposal,11400,0.5,
1095,2026-05-06,East,Team A,Rep 3,Home Office,Facebook,Negotiation,24016,0.75,
1096,2025-06-07,North,Team D,Rep 2,Home Office,Facebook,Closed Won,13901,1.0,2025-08-31
1097,2025-05-11,East,Team D,Rep 5,Consumer,Facebook,Closed Lost,13636,0.0,2025-07-17
1098,2026-01-08,East,Team D,Rep 6,Consumer,Google,Lead,4095,0.1,
1099,2025-12-14,West,Team D,Rep 8,Consumer,Facebook,Proposal,19946,0.5,
1100,2025-03-18,East,Team A,Rep 4,Consumer,LinkedIn,Lead,8739,0.1,
1101,2026-03-31,South,Team D,Rep 7,Corporate,Google,Proposal,2750,0.5,
1102,2025-04-20,East,Team C,Rep 2,Consumer,LinkedIn,Lead,24697,0.1,
1103,2026-03-16,West,Team A,Rep 7,Consumer,Email,Proposal,5156,0.5,
1104,2025-01-05,South,Team A,Rep 5,Corporate,LinkedIn,Proposal,897,0.5,
1105,2026-03-12,North,Team D,Rep 7,Home Office,Referral,Qualified,2407,0.25,
1106,2026-03-06,West,Team B,Rep 7,Consumer,Email,Proposal,11586,0.5,
1107,2026-03-03,North,Team D,Rep 5,Home Office,Facebook,Negotiation,3021,0.75,
1108,2025-12-30,East,Team A,Rep 3,Corporate,LinkedIn,Closed Won,21145,1.0,2026-04-27
1109,2025-09-15,North,Team B,Rep 5,Home Office,LinkedIn,Qualified,13054,0.25,
1110,2026-01-21,North,Team B,Rep 7,Consumer,LinkedIn,Proposal,8435,0.5,
1111,2025-06-01,West,Team B,Rep 8,Corporate,Google,Closed Lost,577,0.0,2025-09-06
1112,2026-03-03,North,Team C,Rep 8,Home Office,LinkedIn,Lead,12255,0.1,
1113,2025-10-31,East,Team D,Rep 2,Consumer,LinkedIn,Lead,4206,0.1,
1114,2025-09-08,East,Team D,Rep 5,Home Office,Email,Lead,24462,0.1,
1115,2025-10-04,North,Team C,Rep 1,Corporate,LinkedIn,Proposal,7631,0.5,
1116,2025-11-07,North,Team A,Rep 6,Corporate,Google,Qualified,12134,0.25,
1117,2025-01-21,West,Team D,Rep 8,Corporate,Email,Negotiation,956,0.75,
1118,2025-03-18,East,Team C,Rep 1,Corporate,Google,Negotiation,3707,0.75,
1119,2025-05-15,North,Team C,Rep 6,Consumer,Google,Qualified,5583,0.25,
1120,2025-03-04,West,Team C,Rep 8,Home Office,Email,Closed Won,1767,1.0,2025-05-01
1121,2025-08-29,South,Team D,Rep 7,Corporate,Referral,Negotiation,18286,0.75,
1122,2025-12-31,North,Team D,Rep 4,Home Office,Facebook,Lead,23662,0.1,
1123,2025-12-24,West,Team C,Rep 1,Corporate,Facebook,Qualified,24641,0.25,
1124,2025-09-15,North,Team C,Rep 8,Corporate,Google,Qualified,7012,0.25,
1125,2026-04-12,East,Team C,Rep 8,Corporate,Referral,Lead,19824,0.1,
1126,2025-11-05,West,Team B,Rep 5,Home Office,LinkedIn,Lead,12849,0.1,
1127,2025-02-13,East,Team B,Rep 8,Home Office,LinkedIn,Closed Lost,1623,0.0,2025-02-22
1128,2026-02-22,East,Team C,Rep 1,Home Office,Facebook,Qualified,2722,0.25,
1129,2025-11-10,South,Team A,Rep 5,Corporate,Referral,Qualified,13920,0.25,
1130,2025-12-13,North,Team B,Rep 1,Home Office,Referral,Negotiation,10879,0.75,
1131,2025-11-05,East,Team C,Rep 8,Corporate,Google,Proposal,705,0.5,
1132,2025-10-30,West,Team D,Rep 6,Corporate,Google,Closed Lost,23287,0.0,2025-11-16
1133,2025-02-19,North,Team C,Rep 8,Home Office,Email,Negotiation,18393,0.75,
1134,2025-11-02,West,Team B,Rep 5,Consumer,LinkedIn,Qualified,12809,0.25,
1135,2026-03-11,South,Team B,Rep 1,Home Office,Referral,Qualified,24681,0.25,
1136,2025-06-15,East,Team C,Rep 1,Consumer,Google,Closed Lost,24292,0.0,2025-08-11
1137,2025-11-26,North,Team C,Rep 3,Corporate,Google,Negotiation,24361,0.75,
1138,2025-01-17,East,Team A,Rep 6,Corporate,Google,Closed Lost,6841,0.0,2025-03-28
1139,2025-07-09,North,Team C,Rep 2,Corporate,Email,Lead,22081,0.1,
1140,2025-08-27,South,Team B,Rep 7,Corporate,LinkedIn,Closed Won,12861,1.0,2025-09-06
1141,2026-06-21,East,Team C,Rep 2,Corporate,LinkedIn,Proposal,18287,0.5,
1142,2025-04-28,North,Team D,Rep 4,Corporate,Referral,Lead,21558,0.1,
1143,2025-05-31,South,Team D,Rep 2,Corporate,Referral,Proposal,4501,0.5,
1144,2025-08-12,East,Team C,Rep 4,Corporate,Google,Negotiation,11482,0.75,
1145,2026-06-26,North,Team B,Rep 4,Home Office,Referral,Lead,3658,0.1,
1146,2026-04-11,South,Team B,Rep 1,Corporate,Google,Qualified,7347,0.25,
1147,2025-01-19,South,Team A,Rep 5,Corporate,LinkedIn,Closed Won,10631,1.0,2025-02-09
1148,2025-05-08,East,Team D,Rep 7,Home Office,LinkedIn,Qualified,21459,0.25,
1149,2026-03-25,West,Team D,Rep 8,Home Office,Referral,Qualified,21635,0.25,
1150,2025-02-01,West,Team D,Rep 3,Consumer,LinkedIn,Qualified,10052,0.25,
1151,2026-04-13,North,Team B,Rep 8,Home Office,Email,Qualified,8565,0.25,
1152,2025-06-03,North,Team B,Rep 8,Consumer,Email,Closed Won,13502,1.0,2025-08-28
1153,2026-05-17,North,Team D,Rep 8,Consumer,Google,Negotiation,22840,0.75,
1154,2025-06-10,East,Team C,Rep 3,Home Office,Google,Lead,24424,0.1,
1155,2025-08-26,North,Team C,Rep 7,Consumer,LinkedIn,Closed Lost,6055,0.0,2025-11-25
1156,2025-12-28,North,Team B,Rep 5,Home Office,Google,Closed Won,5068,1.0,2026-01-07
1157,2025-03-10,West,Team B,Rep 1,Home Office,Google,Qualified,17815,0.25,
1158,2025-11-01,West,Team C,Rep 3,Home Office,Referral,Closed Won,7884,1.0,2026-01-04
1159,2025-10-03,West,Team D,Rep 6,Home Office,Facebook,Lead,5394,0.1,
1160,2026-03-05,South,Team B,Rep 2,Home Office,Google,Closed Lost,1261,0.0,2026-03-21
1161,2026-06-28,East,Team D,Rep 4,Consumer,Google,Proposal,10378,0.5,
1162,2025-12-29,East,Team A,Rep 7,Home Office,Google,Proposal,10100,0.5,
1163,2025-08-12,North,Team B,Rep 2,Consumer,Referral,Lead,14294,0.1,
1164,2025-08-10,East,Team D,Rep 4,Consumer,Referral,Closed Won,5404,1.0,2025-11-06
1165,2025-08-17,East,Team D,Rep 2,Consumer,Google,Lead,18001,0.1,
1166,2026-03-21,South,Team D,Rep 5,Corporate,Google,Lead,17160,0.1,
1167,2025-06-25,West,Team B,Rep 2,Home Office,Google,Lead,11827,0.1,
1168,2025-04-02,East,Team D,Rep 8,Consumer,Email,Negotiation,4942,0.75,
1169,2025-07-02,East,Team D,Rep 1,Home Office,Google,Lead,12920,0.1,
1170,2025-01-13,East,Team D,Rep 8,Corporate,Facebook,Closed Won,17032,1.0,2025-04-24
1171,2025-02-27,West,Team A,Rep 7,Corporate,Email,Proposal,9631,0.5,
1172,2025-02-19,East,Team C,Rep 7,Home Office,Email,Lead,6955,0.1,
1173,2026-02-26,South,Team D,Rep 7,Corporate,Google,Lead,12909,0.1,
1174,2026-01-30,West,Team D,Rep 2,Corporate,Email,Lead,9202,0.1,
1175,2026-01-16,East,Team A,Rep 8,Home Office,LinkedIn,Proposal,10312,0.5,
1176,2025-09-10,West,Team D,Rep 5,Corporate,Google,Closed Won,9047,1.0,2025-12-24
1177,2026-01-27,North,Team A,Rep 8,Corporate,Facebook,Lead,7934,0.1,
1178,2025-03-30,South,Team B,Rep 8,Consumer,LinkedIn,Closed Won,18060,1.0,2025-06-12
1179,2026-05-07,West,Team C,Rep 5,Consumer,Google,Lead,11775,0.1,
1180,2025-10-01,East,Team B,Rep 3,Consumer,LinkedIn,Closed Won,11929,1.0,2025-12-18
1181,2026-05-28,West,Team C,Rep 1,Consumer,LinkedIn,Closed Won,16500,1.0,2026-09-16
1182,2025-03-25,North,Team A,Rep 1,Consumer,Email,Negotiation,9351,0.75,
1183,2025-09-29,North,Team C,Rep 4,Home Office,Facebook,Negotiation,2975,0.75,
1184,2026-01-16,West,Team C,Rep 7,Consumer,Google,Closed Won,21389,1.0,2026-04-02
1185,2025-09-28,South,Team C,Rep 5,Corporate,Referral,Lead,1864,0.1,
1186,2025-09-01,East,Team B,Rep 4,Home Office,Email,Lead,14512,0.1,
1187,2025-04-01,South,Team B,Rep 2,Home Office,Email,Lead,7012,0.1,
1188,2025-07-28,South,Team B,Rep 5,Corporate,Referral,Proposal,5738,0.5,
1189,2025-05-11,West,Team B,Rep 6,Consumer,Referral,Negotiation,1527,0.75,
1190,2025-06-14,North,Team C,Rep 8,Home Office,Email,Proposal,22552,0.5,
1191,2026-01-09,West,Team B,Rep 6,Consumer,Google,Closed Won,11015,1.0,2026-03-07
1192,2025-12-11,West,Team B,Rep 5,Home Office,LinkedIn,Lead,8894,0.1,
1193,2025-11-28,East,Team B,Rep 8,Home Office,Email,Negotiation,18660,0.75,
1194,2025-07-17,South,Team A,Rep 4,Consumer,Facebook,Lead,1454,0.1,
1195,2026-06-08,North,Team C,Rep 8,Home Office,Facebook,Lead,14331,0.1,
1196,2025-02-17,East,Team D,Rep 3,Consumer,LinkedIn,Negotiation,12617,0.75,
1197,2025-07-07,South,Team B,Rep 2,Consumer,Facebook,Closed Lost,14059,0.0,2025-10-07
1198,2025-03-06,North,Team D,Rep 4,Home Office,Google,Proposal,3536,0.5,
1199,2025-07-05,South,Team C,Rep 2,Home Office,Facebook,Lead,23837,0.1,
1200,2026-06-10,West,Team A,Rep 1,Consumer,LinkedIn,Proposal,6342,0.5,
1201,2025-07-19,South,Team B,Rep 8,Home Office,Email,Lead,17122,0.1,
1202,2026-05-12,North,Team A,Rep 7,Home Office,Facebook,Closed Won,18804,1.0,2026-07-24
1203,2025-09-28,East,Team A,Rep 2,Home Office,Facebook,Negotiation,8927,0.75,
1204,2026-01-18,North,Team B,Rep 7,Consumer,Referral,Lead,3703,0.1,
1205,2025-09-07,West,Team B,Rep 1,Consumer,Referral,Lead,7768,0.1,
1206,2025-05-26,West,Team D,Rep 3,Home Office,Google,Lead,20270,0.1,
1207,2026-02-22,West,Team A,Rep 6,Home Office,Email,Closed Lost,22709,0.0,2026-06-04
1208,2026-06-14,West,Team D,Rep 3,Home Office,LinkedIn,Qualified,23454,0.25,
1209,2025-05-24,North,Team A,Rep 6,Corporate,Google,Negotiation,6044,0.75,
1210,2026-03-02,North,Team A,Rep 7,Consumer,Referral,Proposal,15360,0.5,
1211,2025-05-23,South,Team C,Rep 1,Home Office,Facebook,Proposal,4200,0.5,
1212,2026-01-27,South,Team D,Rep 1,Consumer,Referral,Lead,17903,0.1,
1213,2026-03-07,West,Team C,Rep 8,Corporate,Referral,Closed Lost,10688,0.0,2026-05-12
1214,2025-09-03,East,Team A,Rep 5,Home Office,Facebook,Qualified,17982,0.25,
1215,2026-02-07,East,Team A,Rep 5,Corporate,LinkedIn,Proposal,17285,0.5,
1216,2025-05-29,West,Team B,Rep 4,Consumer,Facebook,Negotiation,24823,0.75,
1217,2025-02-13,East,Team B,Rep 4,Consumer,Facebook,Proposal,12471,0.5,
1218,2025-02-22,South,Team D,Rep 6,Corporate,Facebook,Closed Lost,8867,0.0,2025-06-07
1219,2025-09-02,South,Team B,Rep 5,Home Office,LinkedIn,Lead,13405,0.1,
1220,2026-05-08,East,Team A,Rep 2,Corporate,Facebook,Proposal,4489,0.5,
1221,2025-03-11,North,Team D,Rep 6,Home Office,LinkedIn,Qualified,3238,0.25,
1222,2025-09-06,East,Team A,Rep 6,Consumer,Google,Qualified,13219,0.25,
1223,2026-01-20,East,Team A,Rep 1,Home Office,LinkedIn,Lead,20722,0.1,
1224,2025-04-21,East,Team B,Rep 4,Home Office,Referral,Lead,13564,0.1,
1225,2026-01-30,East,Team B,Rep 7,Corporate,Email,Lead,19657,0.1,
1226,2025-06-17,West,Team C,Rep 5,Home Office,Referral,Qualified,4858,0.25,
1227,2026-03-18,West,Team D,Rep 2,Corporate,Email,Qualified,11510,0.25,
1228,2025-11-13,East,Team D,Rep 1,Corporate,Google,Proposal,15521,0.5,
1229,2025-10-26,South,Team B,Rep 5,Home Office,Facebook,Proposal,9018,0.5,
1230,2025-04-07,North,Team D,Rep 4,Home Office,LinkedIn,Qualified,846,0.25,
1231,2025-09-10,West,Team C,Rep 8,Home Office,LinkedIn,Qualified,2299,0.25,
1232,2026-04-13,West,Team A,Rep 5,Consumer,Referral,Lead,23227,0.1,
1233,2025-01-11,East,Team D,Rep 8,Home Office,Google,Proposal,15325,0.5,
1234,2026-02-19,West,Team A,Rep 2,Consumer,Referral,Qualified,6982,0.25,
1235,2025-09-27,West,Team C,Rep 4,Corporate,Facebook,Lead,6841,0.1,
1236,2026-01-28,West,Team D,Rep 2,Corporate,Facebook,Qualified,1469,0.25,
1237,2025-12-29,East,Team A,Rep 5,Corporate,Facebook,Qualified,23647,0.25,
1238,2025-08-24,North,Team B,Rep 2,Home Office,Google,Lead,3152,0.1,
1239,2025-06-18,North,Team B,Rep 4,Home Office,LinkedIn,Proposal,19106,0.5,
1240,2025-12-09,North,Team D,Rep 3,Consumer,Referral,Proposal,6386,0.5,
1241,2025-03-18,South,Team A,Rep 2,Consumer,Facebook,Negotiation,8722,0.75,
1242,2025-11-15,East,Team C,Rep 1,Consumer,Facebook,Proposal,7210,0.5,
1243,2025-02-21,South,Team B,Rep 5,Home Office,Referral,Proposal,20700,0.5,
1244,2025-12-21,North,Team A,Rep 8,Corporate,Google,Qualified,1303,0.25,
1245,2025-12-10,North,Team C,Rep 2,Home Office,Facebook,Negotiation,9131,0.75,
1246,2025-02-16,West,Team D,Rep 4,Home Office,Referral,Proposal,7344,0.5,
1247,2026-02-18,West,Team C,Rep 2,Home Office,Google,Qualified,7187,0.25,
1248,2025-08-16,South,Team A,Rep 7,Consumer,Referral,Proposal,5227,0.5,
1249,2026-03-06,West,Team A,Rep 4,Consumer,Referral,Qualified,22854,0.25,
1250,2025-01-23,East,Team B,Rep 8,Corporate,Referral,Proposal,9776,0.5,
1251,2025-04-08,West,Team C,Rep 2,Corporate,Google,Negotiation,10746,0.75,
1252,2025-09-27,West,Team C,Rep 1,Home Office,LinkedIn,Closed Won,9936,1.0,2025-10-09
1253,2025-04-13,East,Team A,Rep 5,Consumer,Referral,Closed Won,24515,1.0,2025-04-24
1254,2025-06-30,South,Team C,Rep 6,Corporate,Facebook,Proposal,8805,0.5,
1255,2025-12-27,East,Team B,Rep 8,Consumer,Email,Proposal,8871,0.5,
1256,2025-03-20,South,Team C,Rep 7,Consumer,Facebook,Closed Won,8534,1.0,2025-04-07
1257,2026-01-06,South,Team D,Rep 8,Consumer,LinkedIn,Qualified,8510,0.25,
1258,2025-02-26,East,Team C,Rep 6,Consumer,Google,Closed Won,2698,1.0,2025-05-06
1259,2025-04-06,East,Team A,Rep 3,Corporate,Email,Qualified,15304,0.25,
1260,2025-11-17,East,Team D,Rep 4,Corporate,Google,Lead,1117,0.1,
1261,2026-03-10,South,Team A,Rep 2,Corporate,Email,Lead,6035,0.1,
1262,2025-04-04,South,Team D,Rep 4,Corporate,Google,Closed Won,5451,1.0,2025-06-30
1263,2025-06-13,North,Team A,Rep 3,Home Office,Google,Lead,7641,0.1,
1264,2026-05-21,East,Team C,Rep 1,Home Office,LinkedIn,Qualified,19037,0.25,
1265,2026-06-25,East,Team A,Rep 2,Corporate,Google,Qualified,15187,0.25,
1266,2025-11-14,West,Team A,Rep 5,Corporate,Google,Lead,24774,0.1,
1267,2025-09-02,East,Team C,Rep 3,Home Office,LinkedIn,Qualified,9104,0.25,
1268,2025-07-09,South,Team C,Rep 8,Home Office,LinkedIn,Negotiation,23248,0.75,
1269,2025-12-01,North,Team A,Rep 4,Consumer,Referral,Lead,1600,0.1,
1270,2025-11-19,North,Team D,Rep 8,Home Office,Facebook,Closed Won,12853,1.0,2025-12-20
1271,2025-06-10,South,Team B,Rep 6,Consumer,Google,Closed Won,20071,1.0,2025-07-04
1272,2025-01-13,South,Team B,Rep 1,Corporate,Facebook,Qualified,13529,0.25,
1273,2025-03-24,South,Team B,Rep 2,Corporate,Google,Lead,23366,0.1,
1274,2026-06-08,South,Team B,Rep 6,Corporate,Email,Proposal,8207,0.5,
1275,2025-08-17,West,Team A,Rep 5,Consumer,Google,Lead,1316,0.1,
1276,2025-09-21,North,Team B,Rep 3,Home Office,Email,Qualified,19461,0.25,
1277,2025-09-13,South,Team A,Rep 5,Consumer,Google,Closed Lost,2166,0.0,2025-12-26
1278,2026-03-04,North,Team A,Rep 8,Consumer,Referral,Closed Lost,19236,0.0,2026-06-03
1279,2025-02-05,South,Team B,Rep 4,Home Office,Referral,Negotiation,18468,0.75,
1280,2025-02-15,East,Team C,Rep 1,Home Office,Google,Qualified,21184,0.25,
1281,2025-05-31,North,Team D,Rep 3,Consumer,Email,Negotiation,12233,0.75,
1282,2025-09-23,South,Team B,Rep 8,Home Office,Facebook,Negotiation,22439,0.75,
1283,2026-01-02,North,Team B,Rep 7,Home Office,Email,Qualified,4660,0.25,
1284,2025-09-25,West,Team D,Rep 7,Consumer,LinkedIn,Proposal,11141,0.5,
1285,2025-08-29,East,Team C,Rep 8,Corporate,Referral,Lead,3484,0.1,
1286,2026-05-28,North,Team D,Rep 1,Corporate,Google,Lead,19288,0.1,
1287,2025-03-29,North,Team D,Rep 3,Consumer,Email,Proposal,17999,0.5,
1288,2025-11-09,North,Team D,Rep 1,Consumer,Email,Lead,20256,0.1,
1289,2025-10-24,South,Team D,Rep 1,Consumer,Referral,Lead,19226,0.1,
1290,2025-09-16,West,Team B,Rep 7,Consumer,Facebook,Closed Won,8057,1.0,2025-12-05
1291,2026-03-17,East,Team B,Rep 8,Corporate,Email,Closed Lost,2167,0.0,2026-05-18
1292,2025-05-26,West,Team B,Rep 2,Corporate,Email,Proposal,23266,0.5,
1293,2026-06-05,South,Team A,Rep 6,Consumer,Facebook,Closed Won,12574,1.0,2026-07-29
1294,2025-07-01,South,Team C,Rep 5,Consumer,LinkedIn,Closed Lost,2811,0.0,2025-07-10
1295,2025-10-25,South,Team C,Rep 1,Consumer,Referral,Lead,23213,0.1,
1296,2025-10-12,North,Team D,Rep 8,Home Office,Facebook,Qualified,24859,0.25,
1297,2026-04-09,West,Team A,Rep 7,Consumer,LinkedIn,Qualified,11414,0.25,
1298,2025-08-28,North,Team B,Rep 5,Home Office,Email,Lead,19367,0.1,
1299,2025-06-05,South,Team A,Rep 6,Corporate,Email,Negotiation,1389,0.75,
1300,2025-01-12,East,Team D,Rep 4,Home Office,Email,Qualified,2785,0.25,
1301,2025-07-18,North,Team B,Rep 7,Corporate,Referral,Qualified,7275,0.25,
1302,2026-03-28,South,Team A,Rep 4,Consumer,Google,Lead,16577,0.1,
1303,2025-01-06,South,Team C,Rep 8,Corporate,Referral,Lead,3768,0.1,
