Month,Region,Team,Sales_Target
2025-11-01,North,Team C,97946
2025-11-01,North,Team D,93307
2025-11-01,South,Team A,110684
2025-11-01,South,Team B,143357
2025-11-01,South,Team C,102409
2025-11-01,South,Team D,159103
2025-11-01,East,Team A,108867
2025-11-01,East,Team B,93141
2025-11-01,East,Team C,113484
2025-11-01,East,Team D,142364
2025-11-01,West,Team A,97465
2025-11-01,West,Team B,95030
2025-11-01,West,Team C,149454
2025-11-01,West,Team D,131449
2025-12-01,North,Team A,114027
2025-12-01,North,Team B,142925
2025-12-01,North,Team C,149102
2025-12-01,North,Team D,115144
2025-12-01,South,Team A,129282
2025-12-01,South,Team B,90765
2025-12-01,South,Team C,111429
2025-12-01,South,Team D,131663
2025-12-01,East,Team A,103797
2025-12-01,East,Team B,159387
2025-12-01,East,Team C,157980
2025-12-01,East,Team D,108033
2025-12-01,West,Team A,117745
2025-12-01,West,Team B,103264
2025-12-01,West,Team C,125276
2025-12-01,West,Team D,98674
2026-01-01,North,Team A,117366
2026-01-01,North,Team B,128867
2026-01-01,North,Team C,132829
2026-01-01,North,Team D,131751
2026-01-01,South,Team A,105499
2026-01-01,South,Team B,145458
2026-01-01,South,Team C,138422
2026-01-01,South,Team D,142715
2026-01-01,East,Team A,122749
2026-01-01,East,Team B,152477
2026-01-01,East,Team C,117290
2026-01-01,East,Team D,146404
2026-01-01,West,Team A,104247
2026-01-01,West,Team B,107308
2026-01-01,West,Team C,126872
2026-01-01,West,Team D,128911
2026-02-01,North,Team A,142235
2026-02-01,North,Team B,110818
2026-02-01,North,Team C,151085
2026-02-01,North,Team D,113084
2026-02-01,South,Team A,127392
2026-02-01,South,Team B,155236
2026-02-01,South,Team C,127758
2026-02-01,South,Team D,137732
2026-02-01,East,Team A,153603
2026-02-01,East,Team B,158221
2026-02-01,East,Team C,124958
2026-02-01,East,Team D,119183
2026-02-01,West,Team A,103785
2026-02-01,West,Team B,127620
2026-02-01,West,Team C,154283
2026-02-01,West,Team D,124098
2026-03-01,North,Team A,114393
2026-03-01,North,Team B,97510
2026-03-01,North,Team C,117281
2026-03-01,North,Team D,106569
2026-03-01,South,Team A,158369
2026-03-01,South,Team B,126934
2026-03-01,South,Team C,99589
2026-03-01,South,Team D,94716
2026-03-01,East,Team A,149552
2026-03-01,East,Team B,155202
2026-03-01,East,Team C,143410
2026-03-01,East,Team D,98669
2026-03-01,West,Team A,96879
2026-03-01,West,Team B,103858
2026-03-01,West,Team C,142579
2026-03-01,West,Team D,143572
2026-04-01,North,Team A,148649
2026-04-01,North,Team B,96785
2026-04-01,North,Team C,100724
2026-04-01,North,Team D,153019
2026-04-01,South,Team A,155012
2026-04-01,South,Team B,140799
2026-04-01,South,Team C,97422
2026-04-01,South,Team D,94803
2026-04-01,East,Team A,93891
2026-04-01,East,Team B,138429
2026-04-01,East,Team C,149217
2026-04-01,East,Team D,134213
2026-04-01,West,Team A,108347
2026-04-01,West,Team B,143014
2026-04-01,West,Team C,94139
2026-04-01,West,Team D,147973
2026-05-01,North,Team A,152431
2026-05-01,North,Team B,140284
2026-05-01,North,Team C,151548
2026-05-01,North,Team D,131032
2026-05-01,South,Team A,122785
2026-05-01,South,Team B,112572
2026-05-01,South,Team C,154519
2026-05-01,South,Team D,138809
2026-05-01,East,Team A,103334
2026-05-01,East,Team B,156988
2026-05-01,East,Team C,94144
2026-05-01,East,Team D,131126
2026-05-01,West,Team A,103338
2026-05-01,West,Team B,136504
2026-05-01,West,Team C,118885
2026-05-01,West,Team D,120598
2026-06-01,North,Team A,137007
2026-06-01,North,Team B,142928
2026-06-01,North,Team C,116602
2026-06-01,North,Team D,159836
2026-06-01,South,Team A,124893
2026-06-01,South,Team B,101227
2026-06-01,South,Team C,90447
2026-06-01,South,Team D,104168
2026-06-01,East,Team A,138376
2026-06-01,East,Team B,127760
2026-06-01,East,Team C,113648
2026-06-01,East,Team D,123696
2026-06-01,West,Team A,148668
2026-06-01,West,Team B,130009
2026-06-01,West,Team C,94066
2026-06-01,West,Team D,93435
