Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Sales,Profit,Profit_Margin,Discount_Amount,Net_Sales
O0049,C131,P031,2025-03-07,1,0.05,4560.0,769.0,16.864035087719298,228.0,4332.0
O0050,C131,P036,2025-03-26,2,0.0,7900.0,1762.0,22.303797468354432,0.0,7900.0
O0051,C095,P040,2025-07-24,1,0.05,2017.8,577.8,28.63514719000892,100.89,1916.9099999999999
O0052,C012,P037,2026-05-11,1,0.0,1198.0,571.0,47.66277128547579,0.0,1198.0
O0053,C072,P028,2026-03-31,4,0.05,17461.0,6213.0,35.58215451577802,873.0500000000001,16587.95
O0054,C005,P002,2025-01-01,4,0.1,17589.6,6885.6,39.14585891663256,1758.96,15830.64
O0055,C120,P025,2026-01-13,3,0.1,2878.2,1045.2,36.31436314363144,287.82,2590.3799999999997
O0056,C118,P007,2026-06-16,1,0.1,4313.7,1499.7,34.76597816259824,431.37,3882.33
O0057,C026,P010,2025-08-21,4,0.05,12171.4,3451.4,28.35663933483412,608.57,11562.83
O0058,C052,P034,2025-06-17,3,0.0,4515.0,1995.0,44.18604651162791,0.0,4515.0
O0059,C145,P002,2025-12-11,5,0.15,20765.5,7385.5,35.566203558787414,3114.825,17650.675
O0060,C017,P035,2025-01-03,1,0.05,2789.2,1149.2,41.201778287681066,139.46,2649.74
O0061,C027,P048,2025-02-05,5,0.0,17250.0,7400.0,42.89855072463768,0.0,17250.0
O0062,C120,P034,2025-12-18,3,0.05,4289.25,1769.25,41.2484700122399,214.4625,4074.7875
O0063,C060,P010,2025-10-03,3,0.0,9609.0,3069.0,31.938807368092416,0.0,9609.0
O0064,C141,P006,2025-07-23,4,0.15,2155.6,423.6,19.651141213583227,323.34,1832.26
O0065,C010,P013,2025-11-28,5,0.15,5168.0,1543.0,29.856811145510836,775.1999999999999,4392.8
O0066,C141,P006,2026-02-06,2,0.05,1204.6,338.6,28.10891582267973,60.23,1144.37
O0067,C044,P017,2026-03-21,3,0.1,5132.7,1253.7,24.425740838155356,513.27,4619.43
O0068,C034,P034,2025-12-19,3,0.0,4515.0,1995.0,44.18604651162791,0.0,4515.0
O0069,C176,P012,2025-05-24,4,0.0,17904.0,5204.0,29.066130473637173,0.0,17904.0
O0070,C056,P043,2025-05-23,3,0.05,7598.1,2033.1,26.758005290796383,379.90500000000003,7218.195000000001
O0071,C053,P004,2025-10-16,1,0.1,4386.6,663.6,15.127889481603063,438.6600000000001,3947.9400000000005
O0072,C117,P010,2025-07-04,5,0.15,13612.75,2712.75,19.928008668344017,2041.9125,11570.8375
O0073,C115,P028,2026-06-21,4,0.05,17461.0,6213.0,35.58215451577802,873.0500000000001,16587.95
O0074,C105,P044,2026-05-11,5,0.0,16750.0,6650.0,39.701492537313435,0.0,16750.0
O0075,C074,P005,2025-02-17,1,0.0,3731.0,1236.0,33.127847761994104,0.0,3731.0
O0076,C151,P030,2025-07-16,5,0.15,6413.25,2443.25,38.09690874361673,961.9875,5451.2625
O0077,C042,P023,2025-04-22,3,0.0,10938.0,2448.0,22.38069116840373,0.0,10938.0
O0078,C133,P033,2025-10-03,2,0.0,7550.0,2768.0,36.66225165562914,0.0,7550.0
O0079,C064,P045,2025-01-31,4,0.1,17193.6,7573.6,44.04894844593338,1719.36,15474.239999999998
O0080,C099,P038,2025-05-17,5,0.15,12686.25,2991.25,23.57867770223667,1902.9375,10783.3125
O0081,C178,P016,2025-01-08,4,0.0,11376.0,3064.0,26.933895921237692,0.0,11376.0
O0082,C090,P013,2025-12-09,4,0.05,4620.8,1720.8,37.24030470914127,231.04000000000002,4389.76
O0083,C069,P006,2025-08-03,4,0.05,2409.2,677.2,28.10891582267973,120.46,2288.74
O0084,C007,P007,2025-03-20,1,0.0,4793.0,1979.0,41.28938034633841,0.0,4793.0
O0085,C109,P043,2025-01-11,2,0.1,4798.8,1088.8,22.689005584729514,479.88000000000005,4318.92
O0086,C098,P033,2025-08-01,2,0.05,7172.5,2390.5,33.32868595329383,358.625,6813.875
O0087,C070,P025,2026-05-26,5,0.0,5330.0,2275.0,42.68292682926829,0.0,5330.0
O0088,C073,P019,2025-06-05,3,0.05,5187.0,1122.0,21.631000578369,259.35,4927.65
O0089,C027,P048,2026-02-27,4,0.05,13110.0,5230.0,39.89321128909229,655.5,12454.5
O0090,C157,P010,2025-11-01,3,0.0,9609.0,3069.0,31.938807368092416,0.0,9609.0
O0091,C133,P010,2025-03-15,1,0.15,2722.55,542.55,19.928008668344013,408.3825,2314.1675
O0092,C193,P041,2025-06-03,4,0.0,19636.0,8048.0,40.985944184151556,0.0,19636.0
O0093,C172,P038,2025-03-01,2,0.1,5373.0,1495.0,27.82430671877908,537.3000000000001,4835.7
O0094,C161,P022,2026-03-18,2,0.1,6892.2,1124.2,16.311192362380663,689.22,6202.98
O0095,C022,P001,2026-01-10,1,0.0,4350.0,1747.0,40.160919540229884,0.0,4350.0
O0096,C164,P029,2026-03-18,4,0.0,2244.0,668.0,29.76827094474153,0.0,2244.0
O0097,C029,P020,2026-03-24,5,0.1,16497.0,4992.0,30.260047281323878,1649.7,14847.3
O0098,C177,P045,2025-02-14,4,0.05,18148.8,8528.8,46.99374063298951,907.44,17241.36
O0099,C070,P021,2025-01-12,4,0.1,10011.6,3479.6,34.75568340724759,1001.1600000000001,9010.44
O0100,C184,P015,2025-01-26,1,0.15,1858.95,702.95,37.81435756744399,278.8425,1580.1075
O0101,C040,P001,2025-05-23,5,0.0,21750.0,8735.0,40.160919540229884,0.0,21750.0
O0102,C086,P019,2026-04-28,3,0.1,4914.0,849.0,17.277167277167276,491.40000000000003,4422.6
O0103,C193,P008,2025-02-20,3,0.05,13306.65,4675.65,35.13769431073936,665.3325,12641.3175
O0104,C052,P022,2026-01-09,3,0.1,10338.3,1686.3,16.311192362380663,1033.83,9304.47
O0105,C192,P021,2025-09-11,4,0.0,11124.0,4592.0,41.28011506652283,0.0,11124.0
O0106,C011,P040,2025-05-13,2,0.0,4248.0,1368.0,32.20338983050847,0.0,4248.0
O0107,C021,P026,2025-10-12,1,0.15,736.95,46.95,6.370852839405658,110.5425,626.4075
O0108,C035,P001,2025-08-01,2,0.0,8700.0,3494.0,40.160919540229884,0.0,8700.0
O0109,C135,P005,2026-06-23,5,0.1,16789.5,4314.5,25.697608624437894,1678.95,15110.55
O0110,C172,P035,2025-06-28,3,0.05,8367.6,3447.6,41.20177828768105,418.38000000000005,7949.22
O0111,C096,P010,2026-01-27,1,0.15,2722.55,542.55,19.928008668344013,408.3825,2314.1675
O0112,C064,P039,2025-07-11,5,0.15,12512.0,4467.0,35.701726342711,1876.8,10635.2
O0113,C083,P033,2026-03-09,4,0.05,14345.0,4781.0,33.32868595329383,717.25,13627.75
O0114,C110,P029,2026-02-16,4,0.15,1907.4,331.4,17.374436405578273,286.11,1621.29
O0115,C070,P014,2025-06-12,1,0.1,501.3,147.3,29.3836026331538,50.13,451.17
O0116,C133,P004,2025-05-26,3,0.0,14622.0,3453.0,23.615100533442757,0.0,14622.0
O0117,C143,P041,2026-05-24,3,0.0,14727.0,6036.0,40.985944184151556,0.0,14727.0
O0118,C020,P037,2025-05-08,5,0.15,5091.5,1956.5,38.42678974761858,763.725,4327.775
O0119,C062,P044,2025-11-29,5,0.05,15912.5,5812.5,36.52788688138256,795.625,15116.875
O0120,C180,P031,2026-01-23,1,0.15,4080.0,289.0,7.083333333333333,612.0,3468.0
O0121,C025,P019,2025-12-07,5,0.05,8645.0,1870.0,21.631000578369,432.25,8212.75
O0122,C177,P030,2025-10-26,5,0.0,7545.0,3575.0,47.38237243207422,0.0,7545.0
O0123,C031,P029,2026-02-05,3,0.05,1598.85,416.85,26.071864152359513,79.9425,1518.9074999999998
O0124,C089,P036,2026-06-16,3,0.05,11257.5,2050.5,18.2145236508994,562.875,10694.625
O0125,C096,P032,2025-04-24,4,0.1,8042.4,3574.4,44.44444444444445,804.24,7238.16
O0126,C010,P037,2026-03-20,2,0.0,2396.0,1142.0,47.66277128547579,0.0,2396.0
O0127,C102,P024,2025-10-05,3,0.1,3369.6,1380.6,40.97222222222222,336.96000000000004,3032.64
O0128,C050,P028,2026-04-07,3,0.0,13785.0,5349.0,38.80304678998912,0.0,13785.0
O0129,C073,P019,2025-02-18,3,0.1,4914.0,849.0,17.277167277167276,491.40000000000003,4422.6
O0130,C084,P043,2025-01-23,3,0.0,7998.0,2433.0,30.420105026256568,0.0,7998.0
O0131,C096,P021,2026-05-18,4,0.15,9455.4,2923.4,30.917782431203335,1418.31,8037.09
O0132,C016,P036,2025-11-14,5,0.15,16787.5,1442.5,8.592702903946389,2518.125,14269.375
O0133,C113,P012,2025-05-02,5,0.05,21261.0,5386.0,25.332768919618083,1063.05,20197.95
O0134,C049,P041,2025-08-22,2,0.05,9327.1,3533.1,37.879941246475326,466.355,8860.745
O0135,C184,P002,2025-04-10,4,0.1,17589.6,6885.6,39.14585891663256,1758.96,15830.64
O0136,C145,P050,2026-03-13,2,0.05,2511.8,895.8,35.66366748944979,125.59000000000002,2386.21
O0137,C171,P024,2025-02-10,1,0.05,1185.6,522.6,44.078947368421055,59.28,1126.32
O0138,C092,P045,2025-01-14,1,0.15,4059.6,1654.6,40.75771011922357,608.9399999999999,3450.66
O0139,C146,P018,2025-09-13,2,0.15,6239.0,2535.0,40.631511460169904,935.8499999999999,5303.15
O0140,C013,P022,2025-11-02,2,0.0,7658.0,1890.0,24.680073126142595,0.0,7658.0
O0141,C086,P015,2025-11-24,1,0.0,2187.0,1031.0,47.142203932327384,0.0,2187.0
O0142,C037,P046,2025-06-21,2,0.05,8181.4,3579.4,43.75045835676046,409.07,7772.33
O0143,C019,P031,2025-01-22,2,0.0,9600.0,2018.0,21.020833333333332,0.0,9600.0
O0144,C025,P013,2025-08-04,1,0.1,1094.4,369.4,33.75365497076023,109.44000000000001,984.96
O0145,C172,P015,2026-06-21,1,0.15,1858.95,702.95,37.81435756744399,278.8425,1580.1075
O0146,C017,P032,2026-03-27,4,0.05,8489.2,4021.2,47.36842105263157,424.46000000000004,8064.740000000001
O0147,C178,P025,2025-08-29,4,0.05,4050.8,1606.8,39.66623876765083,202.54000000000002,3848.26
O0148,C047,P025,2026-05-29,3,0.0,3198.0,1365.0,42.68292682926829,0.0,3198.0
O0149,C009,P017,2026-02-07,2,0.1,3421.8,835.8,24.425740838155356,342.18000000000006,3079.62
O0150,C155,P046,2025-01-13,5,0.15,18300.5,6795.5,37.132865222261685,2745.075,15555.425
O0151,C056,P005,2025-03-14,5,0.15,15856.75,3381.75,21.326879719993062,2378.5125,13478.2375
O0152,C167,P028,2025-09-11,1,0.1,4135.5,1323.5,32.00338532221013,413.55,3721.95
O0153,C031,P006,2025-06-20,4,0.05,2409.2,677.2,28.10891582267973,120.46,2288.74
O0154,C151,P029,2025-06-06,1,0.05,532.95,138.95,26.071864152359502,26.647500000000004,506.30250000000007
O0155,C026,P045,2026-02-20,2,0.15,8119.2,3309.2,40.75771011922357,1217.8799999999999,6901.32
O0156,C045,P013,2025-12-17,5,0.1,5472.0,1847.0,33.75365497076023,547.2,4924.8
O0157,C182,P025,2025-02-13,1,0.15,906.1,295.1,32.568149210903876,135.915,770.1850000000001
O0158,C073,P002,2026-03-16,2,0.1,8794.8,3442.8,39.14585891663256,879.48,7915.32
O0159,C149,P038,2025-07-29,4,0.0,11940.0,4184.0,35.04187604690117,0.0,11940.0
O0160,C117,P017,2025-05-26,2,0.1,3421.8,835.8,24.425740838155356,342.18000000000006,3079.62
O0161,C139,P024,2025-10-30,2,0.15,2121.6,795.6,37.5,318.23999999999995,1803.36
O0162,C154,P031,2026-03-13,1,0.1,4320.0,529.0,12.24537037037037,432.0,3888.0
O0163,C012,P013,2026-01-05,5,0.15,5168.0,1543.0,29.856811145510836,775.1999999999999,4392.8
O0164,C136,P042,2026-01-18,5,0.1,14233.5,5153.5,36.2068359855271,1423.3500000000001,12810.15
O0165,C147,P008,2025-03-28,1,0.0,4669.0,1792.0,38.3808095952024,0.0,4669.0
O0166,C004,P009,2026-01-18,3,0.05,4882.05,1861.05,38.12025685931115,244.10250000000002,4637.9475
O0167,C058,P033,2026-06-25,5,0.05,17931.25,5976.25,33.32868595329383,896.5625,17034.6875
O0168,C096,P027,2025-12-28,2,0.15,2126.7,732.7,34.45243804956036,319.00499999999994,1807.695
O0169,C182,P049,2025-10-07,1,0.1,1336.5,361.5,27.048260381593714,133.65,1202.85
O0170,C142,P007,2026-01-14,2,0.0,9586.0,3958.0,41.28938034633841,0.0,9586.0
O0171,C191,P038,2025-04-29,4,0.0,11940.0,4184.0,35.04187604690117,0.0,11940.0
O0172,C007,P022,2025-09-04,5,0.15,16273.25,1853.25,11.388321324873642,2440.9874999999997,13832.2625
O0173,C094,P022,2025-04-01,1,0.05,3637.55,753.55,20.715866448571152,181.87750000000003,3455.6725
O0174,C054,P002,2026-04-11,5,0.05,23208.5,9828.5,42.3487084473361,1160.425,22048.075
O0175,C161,P023,2025-10-09,5,0.1,16407.0,2257.0,13.756323520448587,1640.7,14766.3
O0176,C110,P035,2025-02-21,1,0.15,2495.6,855.6,34.284340439172944,374.34,2121.2599999999998
O0177,C027,P019,2025-12-25,2,0.0,3640.0,930.0,25.549450549450547,0.0,3640.0
O0178,C196,P046,2026-04-20,4,0.1,15501.6,6297.6,40.62548382102493,1550.16,13951.44
O0179,C154,P028,2025-12-08,1,0.05,4365.25,1553.25,35.58215451577802,218.26250000000002,4146.9875
O0180,C146,P037,2025-06-13,5,0.05,5690.5,2555.5,44.90818030050083,284.52500000000003,5405.975
O0181,C190,P037,2025-06-26,3,0.15,3054.9,1173.9,38.426789747618585,458.235,2596.665
O0182,C177,P042,2026-02-10,1,0.0,3163.0,1347.0,42.58615238697439,0.0,3163.0
O0183,C041,P002,2026-04-22,1,0.15,4153.1,1477.1,35.56620355878741,622.965,3530.135
O0184,C074,P010,2025-11-08,1,0.0,3203.0,1023.0,31.938807368092416,0.0,3203.0
O0185,C048,P015,2025-04-27,5,0.15,9294.75,3514.75,37.814357567443984,1394.2124999999999,7900.5375
O0186,C163,P013,2025-02-18,2,0.0,2432.0,982.0,40.37828947368421,0.0,2432.0
O0187,C104,P035,2026-06-14,1,0.1,2642.4,1002.4,37.935210414774446,264.24,2378.16
O0188,C089,P030,2025-06-13,4,0.15,5130.6,1954.6,38.09690874361672,769.59,4361.01
O0189,C153,P035,2026-01-03,2,0.15,4991.2,1711.2,34.284340439172944,748.68,4242.5199999999995
O0190,C057,P026,2026-03-23,5,0.1,3901.5,451.5,11.572472126105344,390.15000000000003,3511.35
O0191,C042,P050,2026-05-13,5,0.0,6610.0,2570.0,38.88048411497731,0.0,6610.0
O0192,C016,P005,2025-09-30,4,0.0,14924.0,4944.0,33.127847761994104,0.0,14924.0
O0193,C101,P024,2025-09-08,3,0.15,3182.4,1193.4,37.5,477.36,2705.04
O0194,C104,P010,2025-11-13,3,0.0,9609.0,3069.0,31.938807368092416,0.0,9609.0
O0195,C028,P007,2025-07-11,1,0.05,4553.35,1739.35,38.199347732987796,227.66750000000002,4325.682500000001
O0196,C048,P030,2025-12-15,4,0.05,5734.2,2558.2,44.6130236127097,286.71,5447.49
O0197,C104,P022,2025-08-11,2,0.05,7275.1,1507.1,20.715866448571152,363.75500000000005,6911.345
O0198,C041,P014,2026-03-19,3,0.0,1671.0,609.0,36.44524236983842,0.0,1671.0
O0199,C099,P016,2026-05-07,1,0.05,2701.8,623.8,23.088311496039672,135.09,2566.71
O0200,C173,P002,2026-01-11,5,0.0,24430.0,11050.0,45.2312730249693,0.0,24430.0
O0201,C001,P026,2025-05-06,3,0.15,2210.85,140.85,6.370852839405658,331.6275,1879.2224999999999
O0202,C157,P041,2026-05-24,5,0.0,24545.0,10060.0,40.985944184151556,0.0,24545.0
O0203,C061,P038,2025-04-21,4,0.05,11343.0,3587.0,31.623027417790706,567.15,10775.85
O0204,C005,P032,2026-01-29,4,0.15,7595.6,3127.6,41.17647058823529,1139.34,6456.26
O0205,C143,P030,2026-06-18,2,0.15,2565.3,977.3,38.09690874361672,384.795,2180.505
O0206,C151,P041,2026-06-15,1,0.0,4909.0,2012.0,40.985944184151556,0.0,4909.0
O0207,C180,P048,2025-09-12,2,0.1,6210.0,2270.0,36.553945249597426,621.0,5589.0
O0208,C073,P008,2025-10-26,4,0.05,17742.2,6234.2,35.13769431073936,887.1100000000001,16855.09
O0209,C143,P015,2025-07-29,5,0.05,10388.25,4608.25,44.36021466560778,519.4125,9868.8375
O0210,C131,P020,2026-03-19,3,0.15,9348.3,2445.3,26.157697121401757,1402.245,7946.054999999999
O0211,C026,P013,2025-03-06,2,0.0,2432.0,982.0,40.37828947368421,0.0,2432.0
O0212,C090,P010,2025-01-19,4,0.15,10890.2,2170.2,19.928008668344013,1633.53,9256.67
O0213,C186,P044,2025-08-26,2,0.1,6030.0,1990.0,33.001658374792704,603.0,5427.0
O0214,C131,P017,2025-08-20,3,0.1,5132.7,1253.7,24.425740838155356,513.27,4619.43
O0215,C141,P039,2025-01-09,4,0.1,10598.4,4162.4,39.273852657004824,1059.84,9538.56
O0216,C191,P014,2025-12-20,3,0.1,1503.9,441.9,29.3836026331538,150.39000000000001,1353.51
O0217,C134,P017,2025-08-17,4,0.05,7223.8,2051.8,28.403333425620865,361.19000000000005,6862.610000000001
O0218,C016,P017,2025-02-19,1,0.1,1710.9,417.9,24.425740838155356,171.09000000000003,1539.81
O0219,C101,P036,2026-01-03,2,0.1,7110.0,972.0,13.670886075949367,711.0,6399.0
O0220,C132,P050,2025-09-10,3,0.0,3966.0,1542.0,38.88048411497731,0.0,3966.0
O0221,C190,P029,2025-01-11,4,0.0,2244.0,668.0,29.76827094474153,0.0,2244.0
O0222,C030,P010,2025-01-13,2,0.0,6406.0,2046.0,31.938807368092416,0.0,6406.0
O0223,C140,P011,2025-07-22,5,0.15,6256.0,566.0,9.047314578005116,938.4,5317.6
O0224,C014,P011,2025-10-24,2,0.15,2502.4,226.4,9.047314578005116,375.36,2127.04
O0225,C188,P006,2025-12-01,4,0.15,2155.6,423.6,19.651141213583227,323.34,1832.26
O0226,C077,P035,2025-10-08,2,0.15,4991.2,1711.2,34.284340439172944,748.68,4242.5199999999995
O0227,C044,P001,2026-04-13,2,0.15,7395.0,2189.0,29.601081812035158,1109.25,6285.75
O0228,C146,P030,2026-01-10,3,0.0,4527.0,2145.0,47.38237243207422,0.0,4527.0
O0229,C060,P036,2025-10-18,5,0.05,18762.5,3417.5,18.2145236508994,938.125,17824.375
O0230,C042,P028,2025-08-25,2,0.05,8730.5,3106.5,35.58215451577802,436.52500000000003,8293.975
O0231,C006,P002,2026-04-28,4,0.1,17589.6,6885.6,39.14585891663256,1758.96,15830.64
O0232,C161,P046,2025-01-20,3,0.0,12918.0,6015.0,46.56293543892243,0.0,12918.0
O0233,C162,P014,2026-03-18,3,0.15,1420.35,358.35,25.22969690569226,213.05249999999998,1207.2975
O0234,C099,P032,2025-09-17,2,0.15,3797.8,1563.8,41.17647058823529,569.67,3228.13
O0235,C019,P007,2026-03-07,3,0.1,12941.1,4499.1,34.76597816259824,1294.1100000000001,11646.99
O0236,C016,P029,2025-11-17,3,0.0,1683.0,501.0,29.76827094474153,0.0,1683.0
O0237,C056,P030,2025-03-17,4,0.15,5130.6,1954.6,38.09690874361672,769.59,4361.01
O0238,C104,P019,2025-06-17,1,0.15,1547.0,192.0,12.411118293471235,232.04999999999998,1314.95
O0239,C194,P042,2026-06-09,2,0.15,5377.1,1745.1,32.45429692585222,806.565,4570.535
O0240,C031,P035,2025-06-11,5,0.15,12478.0,4278.0,34.284340439172944,1871.6999999999998,10606.3
O0241,C027,P037,2025-10-03,4,0.1,4312.8,1804.8,41.84752365052866,431.28000000000003,3881.52
O0242,C073,P049,2025-12-03,5,0.0,7425.0,2550.0,34.34343434343434,0.0,7425.0
O0243,C109,P040,2025-11-07,4,0.1,7646.4,1886.4,24.67043314500942,764.64,6881.759999999999
O0244,C142,P030,2026-05-31,3,0.0,4527.0,2145.0,47.38237243207422,0.0,4527.0
O0245,C047,P050,2025-04-17,2,0.05,2511.8,895.8,35.66366748944979,125.59000000000002,2386.21
O0246,C116,P048,2025-10-14,5,0.0,17250.0,7400.0,42.89855072463768,0.0,17250.0
O0247,C075,P005,2025-11-26,1,0.15,3171.35,676.35,21.326879719993062,475.7025,2695.6475
O0248,C178,P033,2025-07-12,2,0.15,6417.5,1635.5,25.485001947798985,962.625,5454.875
O0249,C093,P003,2026-02-04,4,0.1,15922.8,3158.8,19.838219408646722,1592.28,14330.519999999999
O0250,C151,P007,2026-03-20,5,0.1,21568.5,7498.5,34.76597816259823,2156.85,19411.65
O0251,C199,P042,2025-02-13,5,0.05,15024.25,5944.25,39.56437093365726,751.2125000000001,14273.0375
O0252,C031,P020,2025-07-10,3,0.15,9348.3,2445.3,26.157697121401757,1402.245,7946.054999999999
O0253,C197,P026,2025-12-14,4,0.1,3121.2,361.2,11.572472126105344,312.12,2809.08
O0254,C146,P008,2025-11-07,3,0.15,11905.95,3274.95,27.506834817885174,1785.8925000000002,10120.0575
O0255,C155,P002,2025-02-23,5,0.15,20765.5,7385.5,35.566203558787414,3114.825,17650.675
O0256,C142,P038,2025-11-19,4,0.15,10149.0,2393.0,23.57867770223667,1522.35,8626.65
O0257,C163,P025,2025-06-25,2,0.15,1812.2,590.2,32.568149210903876,271.83,1540.3700000000001
O0258,C123,P039,2026-03-11,1,0.1,2649.6,1040.6,39.273852657004824,264.96,2384.64
O0259,C144,P004,2026-03-20,1,0.05,4630.3,907.3,19.594842666781847,231.51500000000001,4398.785
O0260,C069,P015,2025-12-29,1,0.15,1858.95,702.95,37.81435756744399,278.8425,1580.1075
O0261,C026,P035,2025-03-26,4,0.05,11156.8,4596.8,41.201778287681066,557.84,10598.96
O0262,C014,P028,2025-11-03,3,0.15,11717.25,3281.25,28.003584458810728,1757.5874999999999,9959.6625
O0263,C146,P040,2025-08-12,4,0.15,7221.6,1461.6,20.239282153539378,1083.24,6138.360000000001
O0264,C057,P029,2025-07-27,5,0.0,2805.0,835.0,29.76827094474153,0.0,2805.0
O0265,C063,P046,2026-03-12,1,0.1,3875.4,1574.4,40.62548382102493,387.54,3487.86
O0266,C029,P020,2025-11-23,4,0.15,12464.4,3260.4,26.157697121401753,1869.6599999999999,10594.74
O0267,C175,P016,2025-01-10,1,0.05,2701.8,623.8,23.088311496039672,135.09,2566.71
O0268,C198,P045,2025-05-18,3,0.0,14328.0,7113.0,49.64405360134003,0.0,14328.0
O0269,C129,P037,2025-04-17,3,0.0,3594.0,1713.0,47.66277128547579,0.0,3594.0
O0270,C162,P011,2025-02-11,1,0.05,1398.4,260.4,18.621281464530888,69.92,1328.48
