Lead_ID,Lead_Date,Region,Team,Sales_Rep,Segment,Source,Stage,Deal_Value,Probability,Close_Date,Expected_Revenue
1103,2026-03-16,West,Team A,Rep 7,Consumer,Email,Proposal,5156,0.5,,2578.0
1104,2025-01-05,South,Team A,Rep 5,Corporate,LinkedIn,Proposal,897,0.5,,448.5
1105,2026-03-12,North,Team D,Rep 7,Home Office,Referral,Qualified,2407,0.25,,601.75
1106,2026-03-06,West,Team B,Rep 7,Consumer,Email,Proposal,11586,0.5,,5793.0
1107,2026-03-03,North,Team D,Rep 5,Home Office,Facebook,Negotiation,3021,0.75,,2265.75
1108,2025-12-30,East,Team A,Rep 3,Corporate,LinkedIn,Closed Won,21145,1.0,2026-04-27,21145.0
1109,2025-09-15,North,Team B,Rep 5,Home Office,LinkedIn,Qualified,13054,0.25,,3263.5
1110,2026-01-21,North,Team B,Rep 7,Consumer,LinkedIn,Proposal,8435,0.5,,4217.5
1111,2025-06-01,West,Team B,Rep 8,Corporate,Google,Closed Lost,577,0.0,2025-09-06,0.0
1112,2026-03-03,North,Team C,Rep 8,Home Office,LinkedIn,Lead,12255,0.1,,1225.5
1113,2025-10-31,East,Team D,Rep 2,Consumer,LinkedIn,Lead,4206,0.1,,420.6
1114,2025-09-08,East,Team D,Rep 5,Home Office,Email,Lead,24462,0.1,,2446.2000000000003
1115,2025-10-04,North,Team C,Rep 1,Corporate,LinkedIn,Proposal,7631,0.5,,3815.5
1116,2025-11-07,North,Team A,Rep 6,Corporate,Google,Qualified,12134,0.25,,3033.5
1117,2025-01-21,West,Team D,Rep 8,Corporate,Email,Negotiation,956,0.75,,717.0
1118,2025-03-18,East,Team C,Rep 1,Corporate,Google,Negotiation,3707,0.75,,2780.25
1119,2025-05-15,North,Team C,Rep 6,Consumer,Google,Qualified,5583,0.25,,1395.75
1120,2025-03-04,West,Team C,Rep 8,Home Office,Email,Closed Won,1767,1.0,2025-05-01,1767.0
1121,2025-08-29,South,Team D,Rep 7,Corporate,Referral,Negotiation,18286,0.75,,13714.5
1122,2025-12-31,North,Team D,Rep 4,Home Office,Facebook,Lead,23662,0.1,,2366.2000000000003
1123,2025-12-24,West,Team C,Rep 1,Corporate,Facebook,Qualified,24641,0.25,,6160.25
1124,2025-09-15,North,Team C,Rep 8,Corporate,Google,Qualified,7012,0.25,,1753.0
1125,2026-04-12,East,Team C,Rep 8,Corporate,Referral,Lead,19824,0.1,,1982.4
1126,2025-11-05,West,Team B,Rep 5,Home Office,LinkedIn,Lead,12849,0.1,,1284.9
1127,2025-02-13,East,Team B,Rep 8,Home Office,LinkedIn,Closed Lost,1623,0.0,2025-02-22,0.0
1128,2026-02-22,East,Team C,Rep 1,Home Office,Facebook,Qualified,2722,0.25,,680.5
1129,2025-11-10,South,Team A,Rep 5,Corporate,Referral,Qualified,13920,0.25,,3480.0
1130,2025-12-13,North,Team B,Rep 1,Home Office,Referral,Negotiation,10879,0.75,,8159.25
1131,2025-11-05,East,Team C,Rep 8,Corporate,Google,Proposal,705,0.5,,352.5
1132,2025-10-30,West,Team D,Rep 6,Corporate,Google,Closed Lost,23287,0.0,2025-11-16,0.0
1133,2025-02-19,North,Team C,Rep 8,Home Office,Email,Negotiation,18393,0.75,,13794.75
1134,2025-11-02,West,Team B,Rep 5,Consumer,LinkedIn,Qualified,12809,0.25,,3202.25
1135,2026-03-11,South,Team B,Rep 1,Home Office,Referral,Qualified,24681,0.25,,6170.25
1136,2025-06-15,East,Team C,Rep 1,Consumer,Google,Closed Lost,24292,0.0,2025-08-11,0.0
1137,2025-11-26,North,Team C,Rep 3,Corporate,Google,Negotiation,24361,0.75,,18270.75
1138,2025-01-17,East,Team A,Rep 6,Corporate,Google,Closed Lost,6841,0.0,2025-03-28,0.0
1139,2025-07-09,North,Team C,Rep 2,Corporate,Email,Lead,22081,0.1,,2208.1
1140,2025-08-27,South,Team B,Rep 7,Corporate,LinkedIn,Closed Won,12861,1.0,2025-09-06,12861.0
1141,2026-06-21,East,Team C,Rep 2,Corporate,LinkedIn,Proposal,18287,0.5,,9143.5
1142,2025-04-28,North,Team D,Rep 4,Corporate,Referral,Lead,21558,0.1,,2155.8
1143,2025-05-31,South,Team D,Rep 2,Corporate,Referral,Proposal,4501,0.5,,2250.5
1144,2025-08-12,East,Team C,Rep 4,Corporate,Google,Negotiation,11482,0.75,,8611.5
1145,2026-06-26,North,Team B,Rep 4,Home Office,Referral,Lead,3658,0.1,,365.8
1146,2026-04-11,South,Team B,Rep 1,Corporate,Google,Qualified,7347,0.25,,1836.75
1147,2025-01-19,South,Team A,Rep 5,Corporate,LinkedIn,Closed Won,10631,1.0,2025-02-09,10631.0
1148,2025-05-08,East,Team D,Rep 7,Home Office,LinkedIn,Qualified,21459,0.25,,5364.75
1149,2026-03-25,West,Team D,Rep 8,Home Office,Referral,Qualified,21635,0.25,,5408.75
1150,2025-02-01,West,Team D,Rep 3,Consumer,LinkedIn,Qualified,10052,0.25,,2513.0
1151,2026-04-13,North,Team B,Rep 8,Home Office,Email,Qualified,8565,0.25,,2141.25
1152,2025-06-03,North,Team B,Rep 8,Consumer,Email,Closed Won,13502,1.0,2025-08-28,13502.0
1153,2026-05-17,North,Team D,Rep 8,Consumer,Google,Negotiation,22840,0.75,,17130.0
1154,2025-06-10,East,Team C,Rep 3,Home Office,Google,Lead,24424,0.1,,2442.4
1155,2025-08-26,North,Team C,Rep 7,Consumer,LinkedIn,Closed Lost,6055,0.0,2025-11-25,0.0
1156,2025-12-28,North,Team B,Rep 5,Home Office,Google,Closed Won,5068,1.0,2026-01-07,5068.0
1157,2025-03-10,West,Team B,Rep 1,Home Office,Google,Qualified,17815,0.25,,4453.75
1158,2025-11-01,West,Team C,Rep 3,Home Office,Referral,Closed Won,7884,1.0,2026-01-04,7884.0
1159,2025-10-03,West,Team D,Rep 6,Home Office,Facebook,Lead,5394,0.1,,539.4
1160,2026-03-05,South,Team B,Rep 2,Home Office,Google,Closed Lost,1261,0.0,2026-03-21,0.0
1161,2026-06-28,East,Team D,Rep 4,Consumer,Google,Proposal,10378,0.5,,5189.0
1162,2025-12-29,East,Team A,Rep 7,Home Office,Google,Proposal,10100,0.5,,5050.0
1163,2025-08-12,North,Team B,Rep 2,Consumer,Referral,Lead,14294,0.1,,1429.4
1164,2025-08-10,East,Team D,Rep 4,Consumer,Referral,Closed Won,5404,1.0,2025-11-06,5404.0
1165,2025-08-17,East,Team D,Rep 2,Consumer,Google,Lead,18001,0.1,,1800.1000000000001
1166,2026-03-21,South,Team D,Rep 5,Corporate,Google,Lead,17160,0.1,,1716.0
1167,2025-06-25,West,Team B,Rep 2,Home Office,Google,Lead,11827,0.1,,1182.7
1168,2025-04-02,East,Team D,Rep 8,Consumer,Email,Negotiation,4942,0.75,,3706.5
1169,2025-07-02,East,Team D,Rep 1,Home Office,Google,Lead,12920,0.1,,1292.0
1170,2025-01-13,East,Team D,Rep 8,Corporate,Facebook,Closed Won,17032,1.0,2025-04-24,17032.0
1171,2025-02-27,West,Team A,Rep 7,Corporate,Email,Proposal,9631,0.5,,4815.5
1172,2025-02-19,East,Team C,Rep 7,Home Office,Email,Lead,6955,0.1,,695.5
1173,2026-02-26,South,Team D,Rep 7,Corporate,Google,Lead,12909,0.1,,1290.9
1174,2026-01-30,West,Team D,Rep 2,Corporate,Email,Lead,9202,0.1,,920.2
1175,2026-01-16,East,Team A,Rep 8,Home Office,LinkedIn,Proposal,10312,0.5,,5156.0
1176,2025-09-10,West,Team D,Rep 5,Corporate,Google,Closed Won,9047,1.0,2025-12-24,9047.0
1177,2026-01-27,North,Team A,Rep 8,Corporate,Facebook,Lead,7934,0.1,,793.4000000000001
1178,2025-03-30,South,Team B,Rep 8,Consumer,LinkedIn,Closed Won,18060,1.0,2025-06-12,18060.0
1179,2026-05-07,West,Team C,Rep 5,Consumer,Google,Lead,11775,0.1,,1177.5
1180,2025-10-01,East,Team B,Rep 3,Consumer,LinkedIn,Closed Won,11929,1.0,2025-12-18,11929.0
1181,2026-05-28,West,Team C,Rep 1,Consumer,LinkedIn,Closed Won,16500,1.0,2026-09-16,16500.0
1182,2025-03-25,North,Team A,Rep 1,Consumer,Email,Negotiation,9351,0.75,,7013.25
1183,2025-09-29,North,Team C,Rep 4,Home Office,Facebook,Negotiation,2975,0.75,,2231.25
1184,2026-01-16,West,Team C,Rep 7,Consumer,Google,Closed Won,21389,1.0,2026-04-02,21389.0
1185,2025-09-28,South,Team C,Rep 5,Corporate,Referral,Lead,1864,0.1,,186.4
1186,2025-09-01,East,Team B,Rep 4,Home Office,Email,Lead,14512,0.1,,1451.2
1187,2025-04-01,South,Team B,Rep 2,Home Office,Email,Lead,7012,0.1,,701.2
1188,2025-07-28,South,Team B,Rep 5,Corporate,Referral,Proposal,5738,0.5,,2869.0
1189,2025-05-11,West,Team B,Rep 6,Consumer,Referral,Negotiation,1527,0.75,,1145.25
1190,2025-06-14,North,Team C,Rep 8,Home Office,Email,Proposal,22552,0.5,,11276.0
1191,2026-01-09,West,Team B,Rep 6,Consumer,Google,Closed Won,11015,1.0,2026-03-07,11015.0
1192,2025-12-11,West,Team B,Rep 5,Home Office,LinkedIn,Lead,8894,0.1,,889.4000000000001
1193,2025-11-28,East,Team B,Rep 8,Home Office,Email,Negotiation,18660,0.75,,13995.0
1194,2025-07-17,South,Team A,Rep 4,Consumer,Facebook,Lead,1454,0.1,,145.4
1195,2026-06-08,North,Team C,Rep 8,Home Office,Facebook,Lead,14331,0.1,,1433.1000000000001
1196,2025-02-17,East,Team D,Rep 3,Consumer,LinkedIn,Negotiation,12617,0.75,,9462.75
1197,2025-07-07,South,Team B,Rep 2,Consumer,Facebook,Closed Lost,14059,0.0,2025-10-07,0.0
1198,2025-03-06,North,Team D,Rep 4,Home Office,Google,Proposal,3536,0.5,,1768.0
1199,2025-07-05,South,Team C,Rep 2,Home Office,Facebook,Lead,23837,0.1,,2383.7000000000003
1200,2026-06-10,West,Team A,Rep 1,Consumer,LinkedIn,Proposal,6342,0.5,,3171.0
1201,2025-07-19,South,Team B,Rep 8,Home Office,Email,Lead,17122,0.1,,1712.2
1202,2026-05-12,North,Team A,Rep 7,Home Office,Facebook,Closed Won,18804,1.0,2026-07-24,18804.0
1203,2025-09-28,East,Team A,Rep 2,Home Office,Facebook,Negotiation,8927,0.75,,6695.25
1204,2026-01-18,North,Team B,Rep 7,Consumer,Referral,Lead,3703,0.1,,370.3
1205,2025-09-07,West,Team B,Rep 1,Consumer,Referral,Lead,7768,0.1,,776.8000000000001
1206,2025-05-26,West,Team D,Rep 3,Home Office,Google,Lead,20270,0.1,,2027.0
1207,2026-02-22,West,Team A,Rep 6,Home Office,Email,Closed Lost,22709,0.0,2026-06-04,0.0
1208,2026-06-14,West,Team D,Rep 3,Home Office,LinkedIn,Qualified,23454,0.25,,5863.5
1209,2025-05-24,North,Team A,Rep 6,Corporate,Google,Negotiation,6044,0.75,,4533.0
1210,2026-03-02,North,Team A,Rep 7,Consumer,Referral,Proposal,15360,0.5,,7680.0
1211,2025-05-23,South,Team C,Rep 1,Home Office,Facebook,Proposal,4200,0.5,,2100.0
1212,2026-01-27,South,Team D,Rep 1,Consumer,Referral,Lead,17903,0.1,,1790.3000000000002
1213,2026-03-07,West,Team C,Rep 8,Corporate,Referral,Closed Lost,10688,0.0,2026-05-12,0.0
1214,2025-09-03,East,Team A,Rep 5,Home Office,Facebook,Qualified,17982,0.25,,4495.5
1215,2026-02-07,East,Team A,Rep 5,Corporate,LinkedIn,Proposal,17285,0.5,,8642.5
1216,2025-05-29,West,Team B,Rep 4,Consumer,Facebook,Negotiation,24823,0.75,,18617.25
1217,2025-02-13,East,Team B,Rep 4,Consumer,Facebook,Proposal,12471,0.5,,6235.5
1218,2025-02-22,South,Team D,Rep 6,Corporate,Facebook,Closed Lost,8867,0.0,2025-06-07,0.0
1219,2025-09-02,South,Team B,Rep 5,Home Office,LinkedIn,Lead,13405,0.1,,1340.5
1220,2026-05-08,East,Team A,Rep 2,Corporate,Facebook,Proposal,4489,0.5,,2244.5
1221,2025-03-11,North,Team D,Rep 6,Home Office,LinkedIn,Qualified,3238,0.25,,809.5
1222,2025-09-06,East,Team A,Rep 6,Consumer,Google,Qualified,13219,0.25,,3304.75
1223,2026-01-20,East,Team A,Rep 1,Home Office,LinkedIn,Lead,20722,0.1,,2072.2000000000003
1224,2025-04-21,East,Team B,Rep 4,Home Office,Referral,Lead,13564,0.1,,1356.4
1225,2026-01-30,East,Team B,Rep 7,Corporate,Email,Lead,19657,0.1,,1965.7
1226,2025-06-17,West,Team C,Rep 5,Home Office,Referral,Qualified,4858,0.25,,1214.5
1227,2026-03-18,West,Team D,Rep 2,Corporate,Email,Qualified,11510,0.25,,2877.5
1228,2025-11-13,East,Team D,Rep 1,Corporate,Google,Proposal,15521,0.5,,7760.5
1229,2025-10-26,South,Team B,Rep 5,Home Office,Facebook,Proposal,9018,0.5,,4509.0
1230,2025-04-07,North,Team D,Rep 4,Home Office,LinkedIn,Qualified,846,0.25,,211.5
1231,2025-09-10,West,Team C,Rep 8,Home Office,LinkedIn,Qualified,2299,0.25,,574.75
1232,2026-04-13,West,Team A,Rep 5,Consumer,Referral,Lead,23227,0.1,,2322.7000000000003
1233,2025-01-11,East,Team D,Rep 8,Home Office,Google,Proposal,15325,0.5,,7662.5
1234,2026-02-19,West,Team A,Rep 2,Consumer,Referral,Qualified,6982,0.25,,1745.5
1235,2025-09-27,West,Team C,Rep 4,Corporate,Facebook,Lead,6841,0.1,,684.1
1236,2026-01-28,West,Team D,Rep 2,Corporate,Facebook,Qualified,1469,0.25,,367.25
1237,2025-12-29,East,Team A,Rep 5,Corporate,Facebook,Qualified,23647,0.25,,5911.75
1238,2025-08-24,North,Team B,Rep 2,Home Office,Google,Lead,3152,0.1,,315.20000000000005
1239,2025-06-18,North,Team B,Rep 4,Home Office,LinkedIn,Proposal,19106,0.5,,9553.0
1240,2025-12-09,North,Team D,Rep 3,Consumer,Referral,Proposal,6386,0.5,,3193.0
1241,2025-03-18,South,Team A,Rep 2,Consumer,Facebook,Negotiation,8722,0.75,,6541.5
1242,2025-11-15,East,Team C,Rep 1,Consumer,Facebook,Proposal,7210,0.5,,3605.0
1243,2025-02-21,South,Team B,Rep 5,Home Office,Referral,Proposal,20700,0.5,,10350.0
1244,2025-12-21,North,Team A,Rep 8,Corporate,Google,Qualified,1303,0.25,,325.75
1245,2025-12-10,North,Team C,Rep 2,Home Office,Facebook,Negotiation,9131,0.75,,6848.25
1246,2025-02-16,West,Team D,Rep 4,Home Office,Referral,Proposal,7344,0.5,,3672.0
1247,2026-02-18,West,Team C,Rep 2,Home Office,Google,Qualified,7187,0.25,,1796.75
1248,2025-08-16,South,Team A,Rep 7,Consumer,Referral,Proposal,5227,0.5,,2613.5
1249,2026-03-06,West,Team A,Rep 4,Consumer,Referral,Qualified,22854,0.25,,5713.5
1250,2025-01-23,East,Team B,Rep 8,Corporate,Referral,Proposal,9776,0.5,,4888.0
1251,2025-04-08,West,Team C,Rep 2,Corporate,Google,Negotiation,10746,0.75,,8059.5
1252,2025-09-27,West,Team C,Rep 1,Home Office,LinkedIn,Closed Won,9936,1.0,2025-10-09,9936.0
1253,2025-04-13,East,Team A,Rep 5,Consumer,Referral,Closed Won,24515,1.0,2025-04-24,24515.0
1254,2025-06-30,South,Team C,Rep 6,Corporate,Facebook,Proposal,8805,0.5,,4402.5
1255,2025-12-27,East,Team B,Rep 8,Consumer,Email,Proposal,8871,0.5,,4435.5
1256,2025-03-20,South,Team C,Rep 7,Consumer,Facebook,Closed Won,8534,1.0,2025-04-07,8534.0
1257,2026-01-06,South,Team D,Rep 8,Consumer,LinkedIn,Qualified,8510,0.25,,2127.5
1258,2025-02-26,East,Team C,Rep 6,Consumer,Google,Closed Won,2698,1.0,2025-05-06,2698.0
1259,2025-04-06,East,Team A,Rep 3,Corporate,Email,Qualified,15304,0.25,,3826.0
1260,2025-11-17,East,Team D,Rep 4,Corporate,Google,Lead,1117,0.1,,111.7
1261,2026-03-10,South,Team A,Rep 2,Corporate,Email,Lead,6035,0.1,,603.5
1262,2025-04-04,South,Team D,Rep 4,Corporate,Google,Closed Won,5451,1.0,2025-06-30,5451.0
1263,2025-06-13,North,Team A,Rep 3,Home Office,Google,Lead,7641,0.1,,764.1
1264,2026-05-21,East,Team C,Rep 1,Home Office,LinkedIn,Qualified,19037,0.25,,4759.25
1265,2026-06-25,East,Team A,Rep 2,Corporate,Google,Qualified,15187,0.25,,3796.75
1266,2025-11-14,West,Team A,Rep 5,Corporate,Google,Lead,24774,0.1,,2477.4
1267,2025-09-02,East,Team C,Rep 3,Home Office,LinkedIn,Qualified,9104,0.25,,2276.0
1268,2025-07-09,South,Team C,Rep 8,Home Office,LinkedIn,Negotiation,23248,0.75,,17436.0
1269,2025-12-01,North,Team A,Rep 4,Consumer,Referral,Lead,1600,0.1,,160.0
1270,2025-11-19,North,Team D,Rep 8,Home Office,Facebook,Closed Won,12853,1.0,2025-12-20,12853.0
1271,2025-06-10,South,Team B,Rep 6,Consumer,Google,Closed Won,20071,1.0,2025-07-04,20071.0
1272,2025-01-13,South,Team B,Rep 1,Corporate,Facebook,Qualified,13529,0.25,,3382.25
